vector_index,doc_id,nandina,selection_reasons,stored_text_sha256,cosine_similarity_reconstructed_stored,max_absolute_difference,l2_difference,byte_exact_float32
0,NANDINA:01012100,01012100,first_or_last_3,cab5f5248acee12932aea158db4b629e4fd4cb8bf254caa46c4bc554ec365a11,1.0000000723875555,0.0,0.0,True
1,NANDINA:01012910,01012910,first_or_last_3,be37c7d3e7457ef0451d5e0d86b72e27fcf9df677d4a3698b889a82b2ffaaaa1,1.0000001047327618,7.450580596923828e-08,4.3145173072568673e-07,False
2,NANDINA:01012990,01012990,first_or_last_3,c27088607ab81d8af23adea31acd87972eedc08427876b611b6268aeb5fd77b3,1.000000018649093,2.60770320892334e-08,1.8553985919592282e-07,False
694,NANDINA:09101200,09101200,distributed_10,9e9b4875c5e1f7a663dcc543e89803b3af54c140640066aa6c4824852c4b8dd5,0.9999999948279137,0.0,0.0,True
1389,NANDINA:27079910,27079910,distributed_10,ac55fe4ebaa2a9b39ae6308969927ca32ba5120d4a2295952bd064f49f864162,1.0000000482961524,8.940696716308594e-08,2.8260089251405155e-07,False
2084,NANDINA:29214210,29214210,distributed_10,061be04e8fc990d1fbd6961bbe7f7d00a45915146d05566ea051172a0c4a81dc,1.0000000896372714,5.960464477539063e-08,2.675481860648504e-07,False
2779,NANDINA:38059090,38059090,distributed_10,c27088607ab81d8af23adea31acd87972eedc08427876b611b6268aeb5fd77b3,1.000000018649093,2.60770320892334e-08,1.8553985919592282e-07,False
3474,NANDINA:44219130,44219130,distributed_10,f3b39f08748e71c7cd1779914a00288374ba7336e9fcfa9333d71f208033acca,1.0000000407023393,4.842877388000488e-08,3.0148038135634774e-07,False
4169,NANDINA:56081900,56081900,distributed_10,1daa1eb4df85975cb0230f170ab1bb1c0462d940f77ed28b89611d3eff4ea067,1.0000000301996659,1.1920928955078125e-07,2.426665739416264e-07,False
4864,NANDINA:71039110,71039110,distributed_10,4fce306ed5d101a2db5f7faeb1714268c5397c2a9ff989b38a6eeba86734b587,1.0000000235438393,0.0,0.0,True
5559,NANDINA:82141000,82141000,distributed_10,09129b3d395284d52e42ff7c5c519a33246a7c9ae661cc4dfcfc1d2d0a8f9bbe,1.0000000118091952,0.0,0.0,True
6254,NANDINA:84742010,84742010,distributed_10,7a622ff8b6ec4e9dabd2bb589896f789da3b2f5f47fa5b9ca038cf56afb11e97,1.0000000274098237,0.0,0.0,True
6890,NANDINA:87032100,87032100,evalset_reference_code:87032100,c160cbd286f67ae82c474214d3821044b9da0d8a9cde0de54a5bf8ad6d4b0c0a,0.9999999977060323,0.0,0.0,True
6892,NANDINA:87032290,87032290,evalset_reference_code:87032290,c27088607ab81d8af23adea31acd87972eedc08427876b611b6268aeb5fd77b3,1.000000018649093,2.60770320892334e-08,1.8553985919592282e-07,False
6893,NANDINA:87032310,87032310,evalset_reference_code:87032310,430c91d3fef8b4317f9c4af6060ed06e48895d6a6ed3835043064e99be744cf9,0.999999887840059,0.0,0.0,True
6894,NANDINA:87032390,87032390,evalset_reference_code:87032390,c27088607ab81d8af23adea31acd87972eedc08427876b611b6268aeb5fd77b3,1.000000018649093,2.60770320892334e-08,1.8553985919592282e-07,False
6895,NANDINA:87032410,87032410,evalset_reference_code:87032410,430c91d3fef8b4317f9c4af6060ed06e48895d6a6ed3835043064e99be744cf9,0.999999887840059,0.0,0.0,True
6949,NANDINA:87060092,87060092,distributed_10,7a809ef0d4b60870b934cc5c57af60b4f2dee39db67ddb3bf492b0d483d31925,1.000000060610175,5.3085386753082275e-08,3.5163151242017033e-07,False
7641,NANDINA:97053900,97053900,first_or_last_3,1daa1eb4df85975cb0230f170ab1bb1c0462d940f77ed28b89611d3eff4ea067,1.0000000301996659,1.1920928955078125e-07,2.426665739416264e-07,False
7642,NANDINA:97061000,97061000,first_or_last_3,d2ed2ac755825051838f4d622a0ffe435ff73464a84f7c842b64ddd86369d360,1.0000001403452747,0.0,0.0,True
7643,NANDINA:97069000,97069000,first_or_last_3,c27088607ab81d8af23adea31acd87972eedc08427876b611b6268aeb5fd77b3,1.000000018649093,2.60770320892334e-08,1.8553985919592282e-07,False
