result_id,hypothesis_component,evidence_family_id,role,comparison_id,metric_name,estimand,expected_direction,analysis_unit,dependency_group,n_series,n_dam,point_estimate,point_estimate_percentage_points,value_unit,bootstrap_type,bootstrap_B,bootstrap_seed,ci_method,ci_level,ci_lower,ci_upper,multiplicity_method,multiplicity_family,hypothesis_decision_role,source_registry_row_ids,source_case_level_paths,scope,limitations
G3F03-0001,HE2_A,HE2_A_HISTORICAL_VS_NORMATIVE_FLAT_ATTEMPT06,PRIMARY_INFERENTIAL,HISTORICAL_MINUS_FLAT,Top-1,series-weighted mean paired historical-minus-flat contribution,greater_than_zero,SERIE,DAM / DECLARACIÓN,1056,67,0.48200757575757575,48.20075757575758,absolute_proportion_difference,PAIRED_DAM_CLUSTER_PERCENTILE,10000,20263001,TWO_SIDED_PERCENTILE_LINEAR_QUANTILES,0.99,0.3294468432754924,0.6313318202387002,BONFERRONI_FAMILYWISE_95_VIA_99_PERCENT_MARGINAL_CI,HE2_A_HISTORICAL_VS_NORMATIVE_FLAT_ATTEMPT06_PRIMARY_FIVE_METRIC_FAMILY,DEFERRED_TO_G3_F04,G3F02-0001;G3F02-0002,outputs/evaluation/historical_retrieval_data_aduanas_clase87_v0.2/historical_case_summary.csv;outputs/evaluation/normative_bm25_flat_corrective_decision906_v0.5/normative_flat_case_summary.csv,CAPITULO_87 / OFFLINE / INTERNAL_EVALUATION,internal fixed Chapter 87 benchmark; cluster-resampling uncertainty only
G3F03-0002,HE2_A,HE2_A_HISTORICAL_VS_NORMATIVE_FLAT_ATTEMPT06,PRIMARY_INFERENTIAL,HISTORICAL_MINUS_FLAT,Top-3,series-weighted mean paired historical-minus-flat contribution,greater_than_zero,SERIE,DAM / DECLARACIÓN,1056,67,0.6202651515151515,62.02651515151515,absolute_proportion_difference,PAIRED_DAM_CLUSTER_PERCENTILE,10000,20263001,TWO_SIDED_PERCENTILE_LINEAR_QUANTILES,0.99,0.4897739082938048,0.7575059408229955,BONFERRONI_FAMILYWISE_95_VIA_99_PERCENT_MARGINAL_CI,HE2_A_HISTORICAL_VS_NORMATIVE_FLAT_ATTEMPT06_PRIMARY_FIVE_METRIC_FAMILY,DEFERRED_TO_G3_F04,G3F02-0003;G3F02-0004,outputs/evaluation/historical_retrieval_data_aduanas_clase87_v0.2/historical_case_summary.csv;outputs/evaluation/normative_bm25_flat_corrective_decision906_v0.5/normative_flat_case_summary.csv,CAPITULO_87 / OFFLINE / INTERNAL_EVALUATION,internal fixed Chapter 87 benchmark; cluster-resampling uncertainty only
G3F03-0003,HE2_A,HE2_A_HISTORICAL_VS_NORMATIVE_FLAT_ATTEMPT06,PRIMARY_INFERENTIAL,HISTORICAL_MINUS_FLAT,Top-5,series-weighted mean paired historical-minus-flat contribution,greater_than_zero,SERIE,DAM / DECLARACIÓN,1056,67,0.7017045454545454,70.17045454545455,absolute_proportion_difference,PAIRED_DAM_CLUSTER_PERCENTILE,10000,20263001,TWO_SIDED_PERCENTILE_LINEAR_QUANTILES,0.99,0.5826075839920948,0.8179633837631779,BONFERRONI_FAMILYWISE_95_VIA_99_PERCENT_MARGINAL_CI,HE2_A_HISTORICAL_VS_NORMATIVE_FLAT_ATTEMPT06_PRIMARY_FIVE_METRIC_FAMILY,DEFERRED_TO_G3_F04,G3F02-0005;G3F02-0006,outputs/evaluation/historical_retrieval_data_aduanas_clase87_v0.2/historical_case_summary.csv;outputs/evaluation/normative_bm25_flat_corrective_decision906_v0.5/normative_flat_case_summary.csv,CAPITULO_87 / OFFLINE / INTERNAL_EVALUATION,internal fixed Chapter 87 benchmark; cluster-resampling uncertainty only
G3F03-0004,HE2_A,HE2_A_HISTORICAL_VS_NORMATIVE_FLAT_ATTEMPT06,PRIMARY_INFERENTIAL,HISTORICAL_MINUS_FLAT,Top-10,series-weighted mean paired historical-minus-flat contribution,greater_than_zero,SERIE,DAM / DECLARACIÓN,1056,67,0.8257575757575758,82.57575757575758,absolute_proportion_difference,PAIRED_DAM_CLUSTER_PERCENTILE,10000,20263001,TWO_SIDED_PERCENTILE_LINEAR_QUANTILES,0.99,0.7371599425592884,0.8960511280511279,BONFERRONI_FAMILYWISE_95_VIA_99_PERCENT_MARGINAL_CI,HE2_A_HISTORICAL_VS_NORMATIVE_FLAT_ATTEMPT06_PRIMARY_FIVE_METRIC_FAMILY,DEFERRED_TO_G3_F04,G3F02-0007;G3F02-0008,outputs/evaluation/historical_retrieval_data_aduanas_clase87_v0.2/historical_case_summary.csv;outputs/evaluation/normative_bm25_flat_corrective_decision906_v0.5/normative_flat_case_summary.csv,CAPITULO_87 / OFFLINE / INTERNAL_EVALUATION,internal fixed Chapter 87 benchmark; cluster-resampling uncertainty only
G3F03-0005,HE2_A,HE2_A_HISTORICAL_VS_NORMATIVE_FLAT_ATTEMPT06,PRIMARY_INFERENTIAL,HISTORICAL_MINUS_FLAT,MRR@100,series-weighted mean paired historical-minus-flat contribution,greater_than_zero,SERIE,DAM / DECLARACIÓN,1056,67,0.5874104320850713,,mean_reciprocal_rank_difference,PAIRED_DAM_CLUSTER_PERCENTILE,10000,20263001,TWO_SIDED_PERCENTILE_LINEAR_QUANTILES,0.99,0.4636263128057276,0.7120413939150084,BONFERRONI_FAMILYWISE_95_VIA_99_PERCENT_MARGINAL_CI,HE2_A_HISTORICAL_VS_NORMATIVE_FLAT_ATTEMPT06_PRIMARY_FIVE_METRIC_FAMILY,DEFERRED_TO_G3_F04,G3F02-0009;G3F02-0010,outputs/evaluation/historical_retrieval_data_aduanas_clase87_v0.2/historical_case_summary.csv;outputs/evaluation/normative_bm25_flat_corrective_decision906_v0.5/normative_flat_case_summary.csv,CAPITULO_87 / OFFLINE / INTERNAL_EVALUATION,internal fixed Chapter 87 benchmark; cluster-resampling uncertainty only
G3F03-0006,HE2_A,HE2_A_HISTORICAL_VS_NORMATIVE_HIERARCHICAL_ATTEMPT06,PRIMARY_INFERENTIAL,HISTORICAL_MINUS_HIERARCHICAL,Top-1,series-weighted mean paired historical-minus-hierarchical contribution,greater_than_zero,SERIE,DAM / DECLARACIÓN,1056,67,0.48295454545454547,48.29545454545455,absolute_proportion_difference,PAIRED_DAM_CLUSTER_PERCENTILE,10000,20263001,TWO_SIDED_PERCENTILE_LINEAR_QUANTILES,0.99,0.3304194457866509,0.6308222377115758,BONFERRONI_FAMILYWISE_95_VIA_99_PERCENT_MARGINAL_CI,HE2_A_HISTORICAL_VS_NORMATIVE_HIERARCHICAL_ATTEMPT06_PRIMARY_FIVE_METRIC_FAMILY,DEFERRED_TO_G3_F04,G3F02-0013;G3F02-0014,outputs/evaluation/historical_retrieval_data_aduanas_clase87_v0.2/historical_case_summary.csv;outputs/evaluation/normative_bm25_hierarchical_corrective_decision906_v0.5/normative_hierarchical_case_summary.csv,CAPITULO_87 / OFFLINE / INTERNAL_EVALUATION,internal fixed Chapter 87 benchmark; cluster-resampling uncertainty only
G3F03-0007,HE2_A,HE2_A_HISTORICAL_VS_NORMATIVE_HIERARCHICAL_ATTEMPT06,PRIMARY_INFERENTIAL,HISTORICAL_MINUS_HIERARCHICAL,Top-3,series-weighted mean paired historical-minus-hierarchical contribution,greater_than_zero,SERIE,DAM / DECLARACIÓN,1056,67,0.6193181818181818,61.93181818181818,absolute_proportion_difference,PAIRED_DAM_CLUSTER_PERCENTILE,10000,20263001,TWO_SIDED_PERCENTILE_LINEAR_QUANTILES,0.99,0.48549190547352417,0.7570283570093408,BONFERRONI_FAMILYWISE_95_VIA_99_PERCENT_MARGINAL_CI,HE2_A_HISTORICAL_VS_NORMATIVE_HIERARCHICAL_ATTEMPT06_PRIMARY_FIVE_METRIC_FAMILY,DEFERRED_TO_G3_F04,G3F02-0015;G3F02-0016,outputs/evaluation/historical_retrieval_data_aduanas_clase87_v0.2/historical_case_summary.csv;outputs/evaluation/normative_bm25_hierarchical_corrective_decision906_v0.5/normative_hierarchical_case_summary.csv,CAPITULO_87 / OFFLINE / INTERNAL_EVALUATION,internal fixed Chapter 87 benchmark; cluster-resampling uncertainty only
G3F03-0008,HE2_A,HE2_A_HISTORICAL_VS_NORMATIVE_HIERARCHICAL_ATTEMPT06,PRIMARY_INFERENTIAL,HISTORICAL_MINUS_HIERARCHICAL,Top-5,series-weighted mean paired historical-minus-hierarchical contribution,greater_than_zero,SERIE,DAM / DECLARACIÓN,1056,67,0.7007575757575758,70.07575757575758,absolute_proportion_difference,PAIRED_DAM_CLUSTER_PERCENTILE,10000,20263001,TWO_SIDED_PERCENTILE_LINEAR_QUANTILES,0.99,0.582403679370273,0.8170633881854532,BONFERRONI_FAMILYWISE_95_VIA_99_PERCENT_MARGINAL_CI,HE2_A_HISTORICAL_VS_NORMATIVE_HIERARCHICAL_ATTEMPT06_PRIMARY_FIVE_METRIC_FAMILY,DEFERRED_TO_G3_F04,G3F02-0017;G3F02-0018,outputs/evaluation/historical_retrieval_data_aduanas_clase87_v0.2/historical_case_summary.csv;outputs/evaluation/normative_bm25_hierarchical_corrective_decision906_v0.5/normative_hierarchical_case_summary.csv,CAPITULO_87 / OFFLINE / INTERNAL_EVALUATION,internal fixed Chapter 87 benchmark; cluster-resampling uncertainty only
G3F03-0009,HE2_A,HE2_A_HISTORICAL_VS_NORMATIVE_HIERARCHICAL_ATTEMPT06,PRIMARY_INFERENTIAL,HISTORICAL_MINUS_HIERARCHICAL,Top-10,series-weighted mean paired historical-minus-hierarchical contribution,greater_than_zero,SERIE,DAM / DECLARACIÓN,1056,67,0.8257575757575758,82.57575757575758,absolute_proportion_difference,PAIRED_DAM_CLUSTER_PERCENTILE,10000,20263001,TWO_SIDED_PERCENTILE_LINEAR_QUANTILES,0.99,0.7366134318353867,0.8949021633933183,BONFERRONI_FAMILYWISE_95_VIA_99_PERCENT_MARGINAL_CI,HE2_A_HISTORICAL_VS_NORMATIVE_HIERARCHICAL_ATTEMPT06_PRIMARY_FIVE_METRIC_FAMILY,DEFERRED_TO_G3_F04,G3F02-0019;G3F02-0020,outputs/evaluation/historical_retrieval_data_aduanas_clase87_v0.2/historical_case_summary.csv;outputs/evaluation/normative_bm25_hierarchical_corrective_decision906_v0.5/normative_hierarchical_case_summary.csv,CAPITULO_87 / OFFLINE / INTERNAL_EVALUATION,internal fixed Chapter 87 benchmark; cluster-resampling uncertainty only
G3F03-0010,HE2_A,HE2_A_HISTORICAL_VS_NORMATIVE_HIERARCHICAL_ATTEMPT06,PRIMARY_INFERENTIAL,HISTORICAL_MINUS_HIERARCHICAL,MRR@100,series-weighted mean paired historical-minus-hierarchical contribution,greater_than_zero,SERIE,DAM / DECLARACIÓN,1056,67,0.5877359661260488,,mean_reciprocal_rank_difference,PAIRED_DAM_CLUSTER_PERCENTILE,10000,20263001,TWO_SIDED_PERCENTILE_LINEAR_QUANTILES,0.99,0.46519960807980876,0.7120385347859284,BONFERRONI_FAMILYWISE_95_VIA_99_PERCENT_MARGINAL_CI,HE2_A_HISTORICAL_VS_NORMATIVE_HIERARCHICAL_ATTEMPT06_PRIMARY_FIVE_METRIC_FAMILY,DEFERRED_TO_G3_F04,G3F02-0021;G3F02-0022,outputs/evaluation/historical_retrieval_data_aduanas_clase87_v0.2/historical_case_summary.csv;outputs/evaluation/normative_bm25_hierarchical_corrective_decision906_v0.5/normative_hierarchical_case_summary.csv,CAPITULO_87 / OFFLINE / INTERNAL_EVALUATION,internal fixed Chapter 87 benchmark; cluster-resampling uncertainty only
