split,rank,DECLARACION,series,pct_split,cum_pct
historico,1,118-2026-10-128583-00,1045,35.42372881355932,35.42372881355932
historico,2,118-2026-10-146957-00,940,31.864406779661014,67.28813559322035
historico,3,118-2026-10-046174-00,158,5.3559322033898304,72.64406779661017
historico,4,118-2026-10-106393-00,149,5.0508474576271185,77.69491525423729
historico,5,118-2026-10-113456-00,75,2.5423728813559325,80.23728813559322
historico,6,118-2026-10-116515-00,67,2.271186440677966,82.50847457627118
historico,7,118-2026-10-119237-00,61,2.0677966101694913,84.57627118644068
historico,8,118-2026-10-002710-00,58,1.966101694915254,86.54237288135593
historico,9,118-2026-10-008011-00,52,1.7627118644067796,88.30508474576271
historico,10,118-2026-10-096423-00,49,1.6610169491525422,89.96610169491525
historico,11,118-2026-10-032668-00,46,1.5593220338983051,91.52542372881356
historico,12,118-2026-10-006732-00,46,1.5593220338983051,93.08474576271186
historico,13,118-2026-10-002590-00,44,1.4915254237288136,94.57627118644068
historico,14,118-2026-10-115368-00,37,1.2542372881355932,95.83050847457628
historico,15,118-2026-10-010497-00,24,0.8135593220338984,96.64406779661017
historico,16,118-2026-10-050585-00,23,0.7796610169491526,97.42372881355932
historico,17,118-2026-10-032318-00,22,0.7457627118644068,98.16949152542372
historico,18,118-2026-10-032394-00,19,0.6440677966101694,98.8135593220339
historico,19,118-2026-10-117220-00,16,0.5423728813559322,99.35593220338983
historico,20,118-2026-10-011206-00,11,0.3728813559322034,99.72881355932203
historico,21,118-2026-10-016902-00,1,0.03389830508474576,99.76271186440678
historico,22,118-2026-10-007407-00,1,0.03389830508474576,99.79661016949153
historico,23,118-2026-10-090864-00,1,0.03389830508474576,99.83050847457628
historico,24,118-2026-10-087382-00,1,0.03389830508474576,99.86440677966102
historico,25,118-2026-10-047354-00,1,0.03389830508474576,99.89830508474576
historico,26,118-2026-10-048311-00,1,0.03389830508474576,99.9322033898305
historico,27,118-2026-10-073097-00,1,0.03389830508474576,99.96610169491525
historico,28,118-2026-10-069870-00,1,0.03389830508474576,100.0
desarrollo,1,118-2026-10-050656-00,91,91.0,91.0
desarrollo,2,118-2026-10-002384-00,3,3.0,94.0
desarrollo,3,118-2026-10-013935-00,3,3.0,97.0
desarrollo,4,118-2026-10-000960-00,1,1.0,98.0
desarrollo,5,118-2026-10-003526-00,1,1.0,99.0
desarrollo,6,118-2026-10-003519-00,1,1.0,100.0
evaluacion,1,118-2026-10-147973-00,149,14.109848484848486,14.109848484848486
evaluacion,2,118-2026-10-046923-00,128,12.121212121212121,26.23106060606061
evaluacion,3,118-2026-10-032097-00,64,6.0606060606060606,32.29166666666667
evaluacion,4,118-2026-10-004975-00,60,5.681818181818182,37.97348484848485
evaluacion,5,118-2026-10-144002-00,59,5.587121212121212,43.56060606060606
evaluacion,6,118-2026-10-021719-00,58,5.492424242424242,49.053030303030305
evaluacion,7,118-2026-10-038926-00,52,4.924242424242424,53.97727272727273
evaluacion,8,118-2026-10-138517-00,48,4.545454545454546,58.52272727272727
evaluacion,9,118-2026-10-017375-00,44,4.166666666666666,62.689393939393945
evaluacion,10,118-2026-10-032693-00,42,3.977272727272727,66.66666666666666
evaluacion,11,118-2026-10-008922-00,41,3.882575757575758,70.54924242424242
evaluacion,12,118-2026-10-036105-00,33,3.125,73.67424242424242
evaluacion,13,118-2026-10-128946-00,32,3.0303030303030303,76.70454545454545
evaluacion,14,118-2026-10-120519-00,30,2.840909090909091,79.54545454545455
evaluacion,15,118-2026-10-027907-00,30,2.840909090909091,82.38636363636364
evaluacion,16,118-2026-10-144736-00,21,1.9886363636363635,84.375
evaluacion,17,118-2026-10-113253-00,19,1.7992424242424243,86.17424242424242
evaluacion,18,118-2026-10-038080-00,18,1.7045454545454544,87.87878787878788
evaluacion,19,118-2026-10-051468-00,17,1.6098484848484849,89.48863636363636
evaluacion,20,118-2026-10-025850-00,14,1.3257575757575757,90.81439393939394
evaluacion,21,118-2026-10-048010-00,12,1.1363636363636365,91.95075757575758
evaluacion,22,118-2026-10-048459-00,12,1.1363636363636365,93.08712121212122
evaluacion,23,118-2026-10-017029-00,10,0.946969696969697,94.0340909090909
evaluacion,24,118-2026-10-027647-00,8,0.7575757575757576,94.79166666666666
evaluacion,25,118-2026-10-133527-00,6,0.5681818181818182,95.35984848484848
evaluacion,26,118-2026-10-016753-00,4,0.3787878787878788,95.73863636363636
evaluacion,27,118-2026-10-133041-00,3,0.2840909090909091,96.02272727272727
evaluacion,28,118-2026-10-039752-00,2,0.1893939393939394,96.21212121212122
