comparison,left_case_id,right_case_id,left_id_unico,right_id_unico,left_DECLARACION,right_DECLARACION,left_NANDINA,right_NANDINA,same_nandina,same_dam,desc_norm_sha256
historico-evaluacion,DA-HIST-V02-00016,DA-EVAL-V02-00781,118-2026-10-002590-00-120,118-2026-10-138517-00-101,118-2026-10-002590-00,118-2026-10-138517-00,87087020,87087020,True,False,edc7d29fed60b4e8bdbc372e272c736a28d64a3349a742ab4c3562bfed76268a
historico-evaluacion,DA-HIST-V02-00018,DA-EVAL-V02-00782,118-2026-10-002590-00-124,118-2026-10-138517-00-103,118-2026-10-002590-00,118-2026-10-138517-00,87089999,87089999,True,False,8a3486faa8f9ae1221799db8fd1107f569011603a2754d162239f88bad8edcf1
historico-evaluacion,DA-HIST-V02-00019,DA-EVAL-V02-00783,118-2026-10-002590-00-125,118-2026-10-138517-00-105,118-2026-10-002590-00,118-2026-10-138517-00,87089200,87089200,True,False,e6b795e11dfd293b4330422e8b3e0c04e30c10e51ab288d914b9b3da2d5306fb
historico-evaluacion,DA-HIST-V02-00022,DA-EVAL-V02-00786,118-2026-10-002590-00-46,118-2026-10-138517-00-16,118-2026-10-002590-00,118-2026-10-138517-00,87088020,87088020,True,False,a63a42918c853fc9b774149a7abed5317a1360108bd68d467abaaa25fb726fcf
historico-evaluacion,DA-HIST-V02-00023,DA-EVAL-V02-00787,118-2026-10-002590-00-47,118-2026-10-138517-00-18,118-2026-10-002590-00,118-2026-10-138517-00,87087010,87087010,True,False,20a31d7a568cbd51e5db9bc057a774095603bfb07bf4e0a02baa2c045d5442c4
historico-evaluacion,DA-HIST-V02-00024,DA-EVAL-V02-00788,118-2026-10-002590-00-51,118-2026-10-138517-00-22,118-2026-10-002590-00,118-2026-10-138517-00,87089100,87089100,True,False,15262a1c6f8d1d60cd2d25b8a2418d5f774c93d24511ac045f1c52f8dc2d7254
historico-evaluacion,DA-HIST-V02-00025,DA-EVAL-V02-00790,118-2026-10-002590-00-61,118-2026-10-138517-00-33,118-2026-10-002590-00,118-2026-10-138517-00,87084010,87084010,True,False,be9377332df089e6dea023a5b2076c28e269099b1f441a657553d336bb3758e2
historico-evaluacion,DA-HIST-V02-00026,DA-EVAL-V02-00791,118-2026-10-002590-00-62,118-2026-10-138517-00-34,118-2026-10-002590-00,118-2026-10-138517-00,87082910,87082910,True,False,37be1de02bbbe7bd7afe8cbce5500248e1074b86850ceb46ade8ef514dfa4246
historico-evaluacion,DA-HIST-V02-00027,DA-EVAL-V02-00793,118-2026-10-002590-00-66,118-2026-10-138517-00-38,118-2026-10-002590-00,118-2026-10-138517-00,87082100,87082100,True,False,3b1d685af3cd49c76101d557f060ae91b7917a33e2af1fef9769aee1d3c6f13a
historico-evaluacion,DA-HIST-V02-00029,DA-EVAL-V02-00795,118-2026-10-002590-00-69,118-2026-10-138517-00-42,118-2026-10-002590-00,118-2026-10-138517-00,87082920,87082920,True,False,ca3950d8388ed6d7d304c52f42db7f4bfe375f27200df231a9689af0d86cb89f
historico-evaluacion,DA-HIST-V02-00030,DA-EVAL-V02-00796,118-2026-10-002590-00-70,118-2026-10-138517-00-43,118-2026-10-002590-00,118-2026-10-138517-00,87089100,87089100,True,False,4437123f51ff9d1c1b793b40dceaf86c1afdc30c2c5fa1b6468af617bb7c2367
historico-evaluacion,DA-HIST-V02-00031,DA-EVAL-V02-00797,118-2026-10-002590-00-71,118-2026-10-138517-00-44,118-2026-10-002590-00,118-2026-10-138517-00,87082990,87082990,True,False,5f9d49f51a4169f20c87e3e0dea818d4a4bd910c25c2af5accc363e6adafd2bc
historico-evaluacion,DA-HIST-V02-00033,DA-EVAL-V02-00798,118-2026-10-002590-00-75,118-2026-10-138517-00-48,118-2026-10-002590-00,118-2026-10-138517-00,87082920,87089939,False,False,81243def8ec4dd82630453653193765ca300ccc9249e8d9467ff22acf2acafa2
historico-evaluacion,DA-HIST-V02-00035,DA-EVAL-V02-00801,118-2026-10-002590-00-79,118-2026-10-138517-00-56,118-2026-10-002590-00,118-2026-10-138517-00,87085011,87085011,True,False,d2bce0159d9b17dafcc67a5a201ab6da8e94fead56b3d5481f531f8de4bc230b
historico-evaluacion,DA-HIST-V02-00036,DA-EVAL-V02-00803,118-2026-10-002590-00-85,118-2026-10-138517-00-62,118-2026-10-002590-00,118-2026-10-138517-00,87089999,87089999,True,False,e8425a4d1d4db787aa80f014792eeead2ab05371211d17a0e0e47fe3eb538091
historico-evaluacion,DA-HIST-V02-00037,DA-EVAL-V02-00804,118-2026-10-002590-00-86,118-2026-10-138517-00-63,118-2026-10-002590-00,118-2026-10-138517-00,87082990,87082990,True,False,5d202adfd6c942d32cfa74731beb19d1d9335a0a16f77574d13a7b6b892018ae
historico-evaluacion,DA-HIST-V02-00038,DA-EVAL-V02-00805,118-2026-10-002590-00-88,118-2026-10-138517-00-65,118-2026-10-002590-00,118-2026-10-138517-00,87082920,87082920,True,False,5914179a8ce76d4966d58b26a16ad20cb1330d2acb44d406d582a62c71571f19
historico-evaluacion,DA-HIST-V02-00039,DA-EVAL-V02-00806,118-2026-10-002590-00-93,118-2026-10-138517-00-70,118-2026-10-002590-00,118-2026-10-138517-00,87082990,87082990,True,False,08dcbdc3c9242c2addecccf0cc4dda952e40e93889e2a2aea0a03955bf559ad5
historico-evaluacion,DA-HIST-V02-00040,DA-EVAL-V02-00807,118-2026-10-002590-00-94,118-2026-10-138517-00-71,118-2026-10-002590-00,118-2026-10-138517-00,87088020,87088020,True,False,d3224ddea1e5f8f2e13fdd920a2ec57e9614be91423c69d9c4ff4b4d32395ba0
historico-evaluacion,DA-HIST-V02-00041,DA-EVAL-V02-00808,118-2026-10-002590-00-95,118-2026-10-138517-00-72,118-2026-10-002590-00,118-2026-10-138517-00,87082920,87082920,True,False,276b8b7107085bb9afcdf0fad32f62e682cc06e63e0aba62177181f72a802c46
historico-evaluacion,DA-HIST-V02-00042,DA-EVAL-V02-00809,118-2026-10-002590-00-96,118-2026-10-138517-00-74,118-2026-10-002590-00,118-2026-10-138517-00,87082930,87082930,True,False,58d3b43e67852c69d9bf2396ed8f66cff003a8877e12d557ea1af35f7b6e9215
historico-evaluacion,DA-HIST-V02-00043,DA-EVAL-V02-00810,118-2026-10-002590-00-97,118-2026-10-138517-00-75,118-2026-10-002590-00,118-2026-10-138517-00,87089999,87089999,True,False,bb23a0a4cd663a285dc7e337da75235c853824e5f56c834393055a79a23ba373
historico-evaluacion,DA-HIST-V02-00044,DA-EVAL-V02-00811,118-2026-10-002590-00-98,118-2026-10-138517-00-76,118-2026-10-002590-00,118-2026-10-138517-00,87081000,87081000,True,False,c72faebd92f7698c6fa2a46fc84f7c29643995f3aed226090e2eb90df1629198
historico-evaluacion,DA-HIST-V02-00001,DA-EVAL-V02-00812,118-2026-10-002590-00-101,118-2026-10-138517-00-79,118-2026-10-002590-00,118-2026-10-138517-00,87084090,87084090,True,False,bdfdfbaf79c85aba889441b71283b90eec0eabff69da587afb5af37b0df36140
historico-evaluacion,DA-HIST-V02-00004,DA-EVAL-V02-00816,118-2026-10-002590-00-104,118-2026-10-138517-00-84,118-2026-10-002590-00,118-2026-10-138517-00,87082930,87082930,True,False,eddf3240807e36363954c339f2c9f27eb725c2aafea7a7f2d17ad0f1e65a4e3a
historico-evaluacion,DA-HIST-V02-00005,DA-EVAL-V02-00817,118-2026-10-002590-00-105,118-2026-10-138517-00-85,118-2026-10-002590-00,118-2026-10-138517-00,87089999,87089999,True,False,f629c6732ba69a12c00b8ae8f168300f8c1ab1a0ec7ec72b3639bb2fad9110b9
historico-evaluacion,DA-HIST-V02-00006,DA-EVAL-V02-00818,118-2026-10-002590-00-107,118-2026-10-138517-00-87,118-2026-10-002590-00,118-2026-10-138517-00,87082920,87082920,True,False,c8d9f4622129c1ecd7c088824ae31afa963ddec01a1e1c2c27caaa2b2f2b76c4
historico-evaluacion,DA-HIST-V02-00007,DA-EVAL-V02-00819,118-2026-10-002590-00-109,118-2026-10-138517-00-88,118-2026-10-002590-00,118-2026-10-138517-00,87082920,87082920,True,False,fe07953f998ea2f21f5b2c5b165a3059e5289a36c648082c3fdbe2207024ef14
historico-evaluacion,DA-HIST-V02-00009,DA-EVAL-V02-00820,118-2026-10-002590-00-111,118-2026-10-138517-00-89,118-2026-10-002590-00,118-2026-10-138517-00,87089100,87089100,True,False,4968707c5b278a22dad1e6d61dde505d7adadee72151cd0e1a90379f848d444b
historico-evaluacion,DA-HIST-V02-00010,DA-EVAL-V02-00821,118-2026-10-002590-00-113,118-2026-10-138517-00-93,118-2026-10-002590-00,118-2026-10-138517-00,87089999,87089999,True,False,791fd5bc7dba2d71951fc51fa26dcae091dc347ad162cccaa8b2a803be674b7d
historico-evaluacion,DA-HIST-V02-00011,DA-EVAL-V02-00822,118-2026-10-002590-00-114,118-2026-10-138517-00-94,118-2026-10-002590-00,118-2026-10-138517-00,87089999,87089999,True,False,631ac00cf5ceb7b283a65fc993936cb96af01981039b80f5baa3f60f0a04773c
historico-evaluacion,DA-HIST-V02-00012,DA-EVAL-V02-00823,118-2026-10-002590-00-116,118-2026-10-138517-00-95,118-2026-10-002590-00,118-2026-10-138517-00,87089999,87089999,True,False,6e187dc95655d019bb874616dd411225bfa1c9bb14249ce472099112ae3afc4a
historico-evaluacion,DA-HIST-V02-00013,DA-EVAL-V02-00824,118-2026-10-002590-00-117,118-2026-10-138517-00-96,118-2026-10-002590-00,118-2026-10-138517-00,87088020,87088020,True,False,c751a94cddcb0213e7d8e5db2ccb9a7a9319b8af1e6c950a5854eb8679ef17ab
historico-evaluacion,DA-HIST-V02-00014,DA-EVAL-V02-00826,118-2026-10-002590-00-118,118-2026-10-138517-00-98,118-2026-10-002590-00,118-2026-10-138517-00,87083021,87083021,True,False,7106f5d11be84e0608625f99dbd8f983603c1d3948f729bad55047b9e606172f
historico-evaluacion,DA-HIST-V02-00015,DA-EVAL-V02-00827,118-2026-10-002590-00-119,118-2026-10-138517-00-99,118-2026-10-002590-00,118-2026-10-138517-00,87089950,87089950,True,False,746769128044e80f323d2a2d3ac56523658d9558ca48ef328cefd7ee3eba1447
