NANDINA,eval_cases,support_count_series,support_count_dams,support_bucket,has_historical_support
87032100,235,76,3,C. 3-4 DAM historicas,True
87089999,147,321,13,D. 5+ DAM historicas,True
87082920,89,269,9,D. 5+ DAM historicas,True
87141090,68,36,3,C. 3-4 DAM historicas,True
87082990,64,184,10,D. 5+ DAM historicas,True
87082910,56,19,6,D. 5+ DAM historicas,True
87081000,38,495,8,D. 5+ DAM historicas,True
87083029,32,156,9,D. 5+ DAM historicas,True
87089400,31,33,11,D. 5+ DAM historicas,True
87032290,28,4,3,C. 3-4 DAM historicas,True
87089100,27,51,5,D. 5+ DAM historicas,True
87088020,25,170,8,D. 5+ DAM historicas,True
87082930,21,63,4,C. 3-4 DAM historicas,True
87149400,19,28,2,B. 2 DAM historicas,True
87087010,17,43,8,D. 5+ DAM historicas,True
87085011,17,10,4,C. 3-4 DAM historicas,True
87089200,15,11,5,D. 5+ DAM historicas,True
87087020,14,17,5,D. 5+ DAM historicas,True
87089939,12,18,5,D. 5+ DAM historicas,True
87084090,9,64,6,D. 5+ DAM historicas,True
87079090,9,5,1,A. 1 DAM historica,True
87089929,8,16,3,C. 3-4 DAM historicas,True
87088090,7,94,5,D. 5+ DAM historicas,True
87082100,7,7,3,C. 3-4 DAM historicas,True
87089399,7,62,4,C. 3-4 DAM historicas,True
87089950,7,5,3,C. 3-4 DAM historicas,True
87032390,6,1,1,A. 1 DAM historica,True
87149900,6,21,4,C. 3-4 DAM historicas,True
87042110,6,1,1,A. 1 DAM historica,True
87089391,5,141,4,C. 3-4 DAM historicas,True
87085019,4,16,4,C. 3-4 DAM historicas,True
87089921,3,10,3,C. 3-4 DAM historicas,True
87082940,3,8,4,C. 3-4 DAM historicas,True
87032310,2,1,1,A. 1 DAM historica,True
87089500,2,2,1,A. 1 DAM historica,True
87038090,2,3,2,B. 2 DAM historicas,True
87083021,2,10,3,C. 3-4 DAM historicas,True
87084010,2,12,4,C. 3-4 DAM historicas,True
87032410,1,1,1,A. 1 DAM historica,True
87083025,1,45,3,C. 3-4 DAM historicas,True
87089919,1,9,3,C. 3-4 DAM historicas,True
87142000,1,11,1,A. 1 DAM historica,True
