phase,component,metric,numerator,denominator,value,unit,scope,interpretation,source_artifact
EXP-04 A,historical retrieval,Top-1,538,1056,0.509470,rate,evalset v0.2,main candidate-ranking evidence,outputs/evaluation/historical_retrieval_data_aduanas_clase87_v0.2/historical_metrics.json
EXP-04 A,historical retrieval,Top-3,709,1056,0.671402,rate,evalset v0.2,main candidate-ranking evidence,outputs/evaluation/historical_retrieval_data_aduanas_clase87_v0.2/historical_metrics.json
EXP-04 A,historical retrieval,Top-5,806,1056,0.763258,rate,evalset v0.2,main candidate-ranking evidence,outputs/evaluation/historical_retrieval_data_aduanas_clase87_v0.2/historical_metrics.json
EXP-04 A,historical retrieval,Top-10,941,1056,0.891098,rate,evalset v0.2,main candidate-ranking evidence,outputs/evaluation/historical_retrieval_data_aduanas_clase87_v0.2/historical_metrics.json
EXP-04 A,historical retrieval,Top-50,1047,1056,0.991477,rate,evalset v0.2,main candidate-ranking evidence,outputs/evaluation/historical_retrieval_data_aduanas_clase87_v0.2/historical_metrics.json
EXP-04 A,historical retrieval,MRR,,1056,0.629707,rate,evalset v0.2,main candidate-ranking evidence,outputs/evaluation/historical_retrieval_data_aduanas_clase87_v0.2/historical_metrics.json
EXP-04 B,normative BM25 flat,Top-1,,1056,0.027462,rate,evalset v0.2,documentary evidence; not a ranking replacement,outputs/evaluation/normative_bm25_flat_data_aduanas_clase87_v0.2/normative_metrics.json
EXP-04 B,normative BM25 flat,Recall@100,,1056,0.071023,rate,evalset v0.2,documentary evidence,outputs/evaluation/normative_bm25_flat_data_aduanas_clase87_v0.2/normative_metrics.json
EXP-04 B,normative BM25 flat,MRR@100,,1056,0.042297,rate,evalset v0.2,documentary evidence,outputs/evaluation/normative_bm25_flat_data_aduanas_clase87_v0.2/normative_metrics.json
EXP-04 C,normative BM25 hierarchical,Top-1,,1056,0.026515,rate,evalset v0.2,documentary evidence; not a ranking replacement,outputs/evaluation/normative_bm25_hierarchical_data_aduanas_clase87_v0.2/normative_hierarchical_metrics.json
EXP-04 C,normative BM25 hierarchical,Recall@100,,1056,0.101326,rate,evalset v0.2,documentary evidence,outputs/evaluation/normative_bm25_hierarchical_data_aduanas_clase87_v0.2/normative_hierarchical_metrics.json
EXP-04 C,normative BM25 hierarchical,Recall@200,,1056,0.303977,rate,evalset v0.2,documentary evidence,outputs/evaluation/normative_bm25_hierarchical_data_aduanas_clase87_v0.2/normative_hierarchical_metrics.json
EXP-04 C,normative BM25 hierarchical,MRR@100,,1056,0.041981,rate,evalset v0.2,documentary evidence,outputs/evaluation/normative_bm25_hierarchical_data_aduanas_clase87_v0.2/normative_hierarchical_metrics.json
EXP-04 C,normative BM25 hierarchical,MRR@200,,1056,0.043342,rate,evalset v0.2,documentary evidence,outputs/evaluation/normative_bm25_hierarchical_data_aduanas_clase87_v0.2/normative_hierarchical_metrics.json
EXP-04 D1a,Text2Trade dense,Top-1,75,1056,0.071023,rate,evalset v0.2,early retrieval evidence,outputs/evaluation/text2trade_mnrl_data_aduanas_clase87_v0.2/d1a_metrics.json
EXP-04 D1a,Text2Trade dense,Top-3,143,1056,0.135417,rate,evalset v0.2,early retrieval evidence,outputs/evaluation/text2trade_mnrl_data_aduanas_clase87_v0.2/d1a_metrics.json
EXP-04 D1a,Text2Trade dense,Top-5,187,1056,0.177083,rate,evalset v0.2,early retrieval evidence,outputs/evaluation/text2trade_mnrl_data_aduanas_clase87_v0.2/d1a_metrics.json
EXP-04 D1a,Text2Trade dense,Top-10,257,1056,0.243371,rate,evalset v0.2,early retrieval evidence,outputs/evaluation/text2trade_mnrl_data_aduanas_clase87_v0.2/d1a_metrics.json
EXP-04 D1a,Text2Trade dense,Top-50,497,1056,0.470644,rate,evalset v0.2,early retrieval evidence,outputs/evaluation/text2trade_mnrl_data_aduanas_clase87_v0.2/d1a_metrics.json
EXP-04 E,candidate pool,pool size,20,,20,candidates,frozen protocol,candidate-pool stage completed,outputs/evaluation/normative_candidate_pools_data_aduanas_clase87_v0.2/candidate_pool_run_metadata.json
