occurrence_id,source_artifact,source_locator,source_type,phase,target_artifact,legacy_expected_sha256,canonical_git_lf_sha256,crlf_reconstructed_sha256,legacy_matches_crlf,legacy_matches_lf,classification,contract_lifecycle,migration_action,notes
OCC-001,outputs/audits/exp05_unified_eval_hash_v0.2/exp05_eval_consumer_inventory_v0.2.csv,row:11/column:upstream_sha256/occurrence:1,CSV,EXP-05,outputs/evaluation/he4_top3_explainer_data_aduanas_clase87_v0.2/he4_automatic_validation_case_results_v0.2.csv,c177033bb21f80579da18f375c8443192c2df7ad72a9f3ffadc45937867c482c,04d9ba0d6b68a48228d6922f4dbfd338e738b46a2495f0d2f1c8e65f434304e7,c177033bb21f80579da18f375c8443192c2df7ad72a9f3ffadc45937867c482c,true,false,EXPECTED_MATCHES_LEGACY_CRLF_REPRESENTATION,HISTORICAL_LEGACY_CONTRACT,PRESERVE_HISTORICAL_LEGACY_AND_MAP,SHA-256 calculated from Git content bytes; CRLF value reconstructed in memory.
OCC-002,outputs/audits/exp05_unified_eval_hash_v0.2/exp05_eval_consumer_inventory_v0.2.csv,row:12/column:upstream_sha256/occurrence:1,CSV,EXP-05,outputs/evaluation/he4_top3_explainer_data_aduanas_clase87_v0.2/he4_qualitative_case_scores_v0.2.csv,ad8e1818a0032f07f02db43da7a5e732cfcf534dbad312cda7a551226f6d001a,a18a112600dea0b43a0f361eaa29cc45566d793117ba2b75e9a2d9f638c47fd7,ad8e1818a0032f07f02db43da7a5e732cfcf534dbad312cda7a551226f6d001a,true,false,EXPECTED_MATCHES_LEGACY_CRLF_REPRESENTATION,HISTORICAL_LEGACY_CONTRACT,PRESERVE_HISTORICAL_LEGACY_AND_MAP,SHA-256 calculated from Git content bytes; CRLF value reconstructed in memory.
OCC-003,outputs/audits/exp05_unified_eval_hash_v0.2/exp05_eval_consumer_inventory_v0.2.csv,row:13/column:upstream_sha256/occurrence:1,CSV,EXP-05,outputs/evaluation/he5_integrated_error_analysis_v0.2/he5_integrated_error_matrix_v0.2.csv,a36ecab58d9df162addf812edc47b4fec875bffb4bc83184c0fff1b0a3ab636d,bada112a721b2f6f7eb53f233f6d9943727af758cadd119c3eb11e89ee706450,a36ecab58d9df162addf812edc47b4fec875bffb4bc83184c0fff1b0a3ab636d,true,false,EXPECTED_MATCHES_LEGACY_CRLF_REPRESENTATION,HISTORICAL_LEGACY_CONTRACT,PRESERVE_HISTORICAL_LEGACY_AND_MAP,SHA-256 calculated from Git content bytes; CRLF value reconstructed in memory.
OCC-004,outputs/audits/exp05_unified_eval_hash_v0.2/gate_exp05_unified_eval_hash_manifest_v0.2.json,/input_sha256/outputs~1evaluation~1he4_top3_explainer_data_aduanas_clase87_v0.2~1he4_automatic_validation_case_results_v0.2.csv,JSON,EXP-05,outputs/evaluation/he4_top3_explainer_data_aduanas_clase87_v0.2/he4_automatic_validation_case_results_v0.2.csv,c177033bb21f80579da18f375c8443192c2df7ad72a9f3ffadc45937867c482c,04d9ba0d6b68a48228d6922f4dbfd338e738b46a2495f0d2f1c8e65f434304e7,c177033bb21f80579da18f375c8443192c2df7ad72a9f3ffadc45937867c482c,true,false,EXPECTED_MATCHES_LEGACY_CRLF_REPRESENTATION,HISTORICAL_LEGACY_CONTRACT,PRESERVE_HISTORICAL_LEGACY_AND_MAP,SHA-256 calculated from Git content bytes; CRLF value reconstructed in memory.
OCC-005,outputs/audits/exp05_unified_eval_hash_v0.2/gate_exp05_unified_eval_hash_manifest_v0.2.json,/input_sha256/outputs~1evaluation~1he4_top3_explainer_data_aduanas_clase87_v0.2~1he4_qualitative_case_scores_v0.2.csv,JSON,EXP-05,outputs/evaluation/he4_top3_explainer_data_aduanas_clase87_v0.2/he4_qualitative_case_scores_v0.2.csv,ad8e1818a0032f07f02db43da7a5e732cfcf534dbad312cda7a551226f6d001a,a18a112600dea0b43a0f361eaa29cc45566d793117ba2b75e9a2d9f638c47fd7,ad8e1818a0032f07f02db43da7a5e732cfcf534dbad312cda7a551226f6d001a,true,false,EXPECTED_MATCHES_LEGACY_CRLF_REPRESENTATION,HISTORICAL_LEGACY_CONTRACT,PRESERVE_HISTORICAL_LEGACY_AND_MAP,SHA-256 calculated from Git content bytes; CRLF value reconstructed in memory.
OCC-006,outputs/audits/exp05_unified_eval_hash_v0.2/gate_exp05_unified_eval_hash_manifest_v0.2.json,/input_sha256/outputs~1evaluation~1he5_integrated_error_analysis_v0.2~1gate_l_corrective_microclose_manifest_v0.2.json,JSON,EXP-05,outputs/evaluation/he5_integrated_error_analysis_v0.2/gate_l_corrective_microclose_manifest_v0.2.json,8944de61d50dfeb3cb547bd4ee1c48bf15b471d9605e1c071803f5260b7bbd2c,b4063a122460dfce555ad51dfe70e2c90a4f9791c4959d1bdcfb2d58ab75a59b,8944de61d50dfeb3cb547bd4ee1c48bf15b471d9605e1c071803f5260b7bbd2c,true,false,EXPECTED_MATCHES_LEGACY_CRLF_REPRESENTATION,HISTORICAL_LEGACY_CONTRACT,PRESERVE_HISTORICAL_LEGACY_AND_MAP,SHA-256 calculated from Git content bytes; CRLF value reconstructed in memory.
OCC-007,outputs/audits/exp05_unified_eval_hash_v0.2/gate_exp05_unified_eval_hash_manifest_v0.2.json,/input_sha256/outputs~1evaluation~1he5_integrated_error_analysis_v0.2~1he5_integrated_error_matrix_v0.2.csv,JSON,EXP-05,outputs/evaluation/he5_integrated_error_analysis_v0.2/he5_integrated_error_matrix_v0.2.csv,a36ecab58d9df162addf812edc47b4fec875bffb4bc83184c0fff1b0a3ab636d,bada112a721b2f6f7eb53f233f6d9943727af758cadd119c3eb11e89ee706450,a36ecab58d9df162addf812edc47b4fec875bffb4bc83184c0fff1b0a3ab636d,true,false,EXPECTED_MATCHES_LEGACY_CRLF_REPRESENTATION,HISTORICAL_LEGACY_CONTRACT,PRESERVE_HISTORICAL_LEGACY_AND_MAP,SHA-256 calculated from Git content bytes; CRLF value reconstructed in memory.
OCC-008,outputs/audits/exp05_unified_eval_hash_v0.2/gate_exp05_unified_eval_hash_manifest_v0.2.json,/input_sha256/outputs~1evaluation~1exp08_split_sensitivity_v01_vs_v02~1gate_exp08_corrective_microclose_manifest_v0.2.json,JSON,EXP-05,outputs/evaluation/exp08_split_sensitivity_v01_vs_v02/gate_exp08_corrective_microclose_manifest_v0.2.json,8ffeb632e5ef58ebf7523b38fc0815aa124509f5982641a76cc9cf8b570ee2c7,99a4ea28ba820e648fed7d64768bf3a50ef7bccd8405ca045de864218001c986,8ffeb632e5ef58ebf7523b38fc0815aa124509f5982641a76cc9cf8b570ee2c7,true,false,EXPECTED_MATCHES_LEGACY_CRLF_REPRESENTATION,HISTORICAL_LEGACY_CONTRACT,PRESERVE_HISTORICAL_LEGACY_AND_MAP,SHA-256 calculated from Git content bytes; CRLF value reconstructed in memory.
OCC-009,outputs/audits/exp05_unified_eval_hash_v0.2/gate_exp05_unified_eval_hash_manifest_v0.2.json,/output_sha256/exp05_eval_consumer_inventory_v0.2.csv,JSON,EXP-05,outputs/audits/exp05_unified_eval_hash_v0.2/exp05_eval_consumer_inventory_v0.2.csv,eb3cb8ed1fca5e7c122baa007b628f4769bf760034807b706084fd2a3d8b67e7,3c32d63b355df4f1fc7c90cf2a39f25626890429174c50af2a6768db98254d08,eb3cb8ed1fca5e7c122baa007b628f4769bf760034807b706084fd2a3d8b67e7,true,false,EXPECTED_MATCHES_LEGACY_CRLF_REPRESENTATION,HISTORICAL_LEGACY_CONTRACT,PRESERVE_HISTORICAL_LEGACY_AND_MAP,SHA-256 calculated from Git content bytes; CRLF value reconstructed in memory.
OCC-010,outputs/audits/exp05_unified_eval_hash_v0.2/gate_exp05_unified_eval_hash_manifest_v0.2.json,/output_sha256/summary_exp05.md,JSON,EXP-05,outputs/audits/exp05_unified_eval_hash_v0.2/summary_exp05.md,9e8430b3b693b29af729d05c77aa55fb1eb85a2d0660f9cedb04a5eeccaf35f5,eaea01db6259873f904b3556a5878a634dfea976828bc74c5f9317d712e342ab,9e8430b3b693b29af729d05c77aa55fb1eb85a2d0660f9cedb04a5eeccaf35f5,true,false,EXPECTED_MATCHES_LEGACY_CRLF_REPRESENTATION,HISTORICAL_LEGACY_CONTRACT,PRESERVE_HISTORICAL_LEGACY_AND_MAP,SHA-256 calculated from Git content bytes; CRLF value reconstructed in memory.
