reference_nandina,presence_status,n_v01,top1_n_v01,top1_v01,top3_n_v01,top3_v01,mrr_v01,n_v02,top1_n_v02,top1_v02,top3_n_v02,top3_v02,mrr_v02,delta_top1_v02_minus_v01,delta_top3_v02_minus_v01,delta_mrr_v02_minus_v01
87024090,ONLY_V01,1,1,1.0,1,1.0,1.0,0,0,,0,,,,,
87031000,ONLY_V01,6,6,1.0,6,1.0,1.0,0,0,,0,,,,,
87032100,CODE_IN_BOTH_EVALSETS,77,77,1.0,77,1.0,1.0,235,204,0.8680851063829788,204,0.8680851063829788,0.8900709219858156,-0.13191489361702124,-0.13191489361702124,-0.10992907801418439
87032290,CODE_IN_BOTH_EVALSETS,9,9,1.0,9,1.0,1.0,28,26,0.9285714285714286,28,1.0,0.9642857142857143,-0.0714285714285714,0.0,-0.0357142857142857
87032310,CODE_IN_BOTH_EVALSETS,1,0,0.0,0,0.0,0.14285714285714285,2,0,0.0,0,0.0,0.15555555555555556,0.0,0.0,0.012698412698412709
87032390,CODE_IN_BOTH_EVALSETS,2,0,0.0,2,1.0,0.41666666666666663,6,2,0.3333333333333333,4,0.6666666666666666,0.4986111111111111,0.3333333333333333,-0.33333333333333337,0.08194444444444449
87032410,CODE_IN_BOTH_EVALSETS,1,1,1.0,1,1.0,1.0,1,0,0.0,0,0.0,0.25,-1.0,-1.0,-0.75
87038010,ONLY_V01,3,3,1.0,3,1.0,1.0,0,0,,0,,,,,
87038090,CODE_IN_BOTH_EVALSETS,1,1,1.0,1,1.0,1.0,2,1,0.5,2,1.0,0.6666666666666666,-0.5,0.0,-0.33333333333333337
87042110,CODE_IN_BOTH_EVALSETS,2,2,1.0,2,1.0,1.0,6,5,0.8333333333333334,6,1.0,0.9166666666666666,-0.16666666666666663,0.0,-0.08333333333333337
87046010,ONLY_V01,11,11,1.0,11,1.0,1.0,0,0,,0,,,,,
87046090,ONLY_V01,1,1,1.0,1,1.0,1.0,0,0,,0,,,,,
87079090,CODE_IN_BOTH_EVALSETS,3,3,1.0,3,1.0,1.0,9,3,0.3333333333333333,9,1.0,0.6666666666666666,-0.6666666666666667,0.0,-0.33333333333333337
87081000,CODE_IN_BOTH_EVALSETS,131,126,0.9618320610687023,128,0.9770992366412213,0.9724920965378981,38,24,0.631578947368421,29,0.7631578947368421,0.7431032290872107,-0.3302531137002813,-0.2139413419043792,-0.22938886745068743
87082100,CODE_IN_BOTH_EVALSETS,3,3,1.0,3,1.0,1.0,7,6,0.8571428571428571,7,1.0,0.9285714285714286,-0.1428571428571429,0.0,-0.0714285714285714
87082910,CODE_IN_BOTH_EVALSETS,19,16,0.8421052631578947,18,0.9473684210526315,0.8984962406015038,56,11,0.19642857142857142,23,0.4107142857142857,0.3486053288870407,-0.6456766917293233,-0.5366541353383458,-0.549890911714463
87082920,CODE_IN_BOTH_EVALSETS,88,79,0.8977272727272727,83,0.9431818181818182,0.9261363636363636,89,57,0.6404494382022472,67,0.7528089887640449,0.7389862946042721,-0.2572778345250255,-0.19037282941777334,-0.18715006903209153
87082930,CODE_IN_BOTH_EVALSETS,21,18,0.8571428571428571,20,0.9523809523809523,0.9027777777777777,21,12,0.5714285714285714,15,0.7142857142857143,0.6539645340720609,-0.2857142857142857,-0.23809523809523803,-0.24881324370571678
87082940,CODE_IN_BOTH_EVALSETS,3,2,0.6666666666666666,2,0.6666666666666666,0.75,3,1,0.3333333333333333,1,0.3333333333333333,0.35901234567901236,-0.3333333333333333,-0.3333333333333333,-0.39098765432098764
87082990,CODE_IN_BOTH_EVALSETS,61,38,0.6229508196721312,48,0.7868852459016393,0.7297745060040143,64,17,0.265625,25,0.390625,0.4157335270132774,-0.3573258196721312,-0.39626024590163933,-0.31404097899073685
87083010,ONLY_V01,41,41,1.0,41,1.0,1.0,0,0,,0,,,,,
87083021,CODE_IN_BOTH_EVALSETS,3,3,1.0,3,1.0,1.0,2,2,1.0,2,1.0,1.0,0.0,0.0,0.0
87083022,ONLY_V01,1,0,0.0,1,1.0,0.5,0,0,,0,,,,,
