version,signal,stratum,n,top1_n,top1_rate,top3_n,top3_rate,mrr,availability,evidence_source
v0.1,EXACT_DUPLICATE,EXACT,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE_NO_FROZEN_CASE_LEVEL_DUPLICATE_FLAGS,v0.1 case summary has no duplicate flags
v0.1,EXACT_DUPLICATE,NON_EXACT,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE_NO_FROZEN_CASE_LEVEL_DUPLICATE_FLAGS,v0.1 case summary has no duplicate flags
v0.1,NEAR_GE_095,NEAR_GE_095,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE_NO_FROZEN_CASE_LEVEL_DUPLICATE_FLAGS,v0.1 near-duplicate flags were not preserved
v0.1,NEAR_GE_095,REST_NEAR_GE_095,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE_NO_FROZEN_CASE_LEVEL_DUPLICATE_FLAGS,v0.1 near-duplicate flags were not preserved
v0.1,DAM_MEMBERSHIP,DAM_OVERLAP,995,860,0.864321608040201,933,0.9376884422110553,0.9072368865532263,AVAILABLE,frozen historical/eval split membership
v0.1,DAM_MEMBERSHIP,NO_DAM_OVERLAP,11,8,0.7272727272727273,10,0.9090909090909091,0.816017316017316,AVAILABLE,frozen historical/eval split membership
v0.2,EXACT_DUPLICATE,EXACT,35,34,0.9714285714285714,35,1.0,0.9857142857142858,AVAILABLE,frozen v0.2 case summary
v0.2,EXACT_DUPLICATE,NON_EXACT,1021,504,0.49363369245837413,674,0.6601371204701273,0.6175038034439014,AVAILABLE,frozen v0.2 case summary
v0.2,NEAR_GE_095,NEAR_GE_095,44,42,0.9545454545454546,44,1.0,0.9772727272727273,AVAILABLE,frozen v0.2 case summary
v0.2,NEAR_GE_095,REST_NEAR_GE_095,1012,496,0.4901185770750988,665,0.6571146245059288,0.6145962285733433,AVAILABLE,frozen v0.2 case summary
v0.2,DAM_MEMBERSHIP,DAM_OVERLAP,0,0,,0,,,AVAILABLE,frozen historical/eval split membership
v0.2,DAM_MEMBERSHIP,NO_DAM_OVERLAP,1056,538,0.509469696969697,709,0.6714015151515151,0.6297077493524843,AVAILABLE,frozen historical/eval split membership
