case_id,id_unico,DAM,SERIE,reference_nandina,support_count_series,support_count_dams,support_bucket_dams,historical_reference_rank,historical_top1_correct,historical_top3_correct,historical_top5_correct,historical_top10_correct,historical_top50_recovered,historical_mrr_contribution,historical_top1_code,historical_candidate_count_effective,historical_error_hierarchy,exact_normalized_description_in_history,exact_duplicate_same_label,exact_duplicate_different_label,near_duplicate_similarity,near_ge_095,flat_exact_rank,flat_top1,flat_top3,flat_top5,flat_top10,flat_top50,flat_recall100,flat_recall200,hierarchical_exact_rank,hierarchical_top1,hierarchical_top3,hierarchical_top5,hierarchical_top10,hierarchical_top50,hierarchical_recall100,hierarchical_recall200,dense_exact_rank,dense_top1,dense_top3,dense_top5,dense_top10,dense_top50,dense_recall100,dense_recall200,hierarchical_pool_contains_reference_100,hierarchical_pool_contains_reference_200,dual_pool_contains_reference_100,dual_pool_contains_reference_200,pool_70_30_contains_reference_100,pool_70_30_contains_reference_200,integration_top3_available,exact_normative_evidence_all_top3,historical_precedent_all_top3,traceability_complete,reranker_evaluated,reranker_reference_in_pool,reranker_before_rank,reranker_after_rank,reranker_outcome,he4_evaluated,he4_selection_bucket,he4_automatic_available,he4_qualitative_available,he4_candidate_set_exact,he4_top3_order_preserved,he4_historical_reference_valid,he4_normative_reference_valid,he4_generic_normative_warning_pass,he4_traceability_complete,he4_total_score,he4_auditable,he4_trazabilidad,he4_verificabilidad,he4_separacion_historico_normativo,he4_prudencia,he4_consistencia_top3,he4_deteccion_normativa_generica,he4_comparacion,he4_utilidad_auditoria,he4_hard_violation,error_types,error_count
DA-EVAL-V02-00001,118-2026-10-000136-00-1,MARITIMA DEL CALLAO 118,1,87032410,1,1,1 DAM,4,0,0,1,1,1,0.25,87032390,42,SAME_HS4,False,False,False,0.0,False,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,0,,,,NOT_EVALUATED,1,rank_4_10,1,1,1,1,1,1,1,1,12,SI,2,0,2,2,2,2,1,1,NO,HISTORICAL_TOP1_ERROR|HISTORICAL_TOP3_MISS|NORMATIVE_EARLY_RANK_MISS|NORMATIVE_NOT_RECOVERED|DENSE_MISS|POOL_REFERENCE_MISS|HIERARCHICAL_SAME_HS4_ERROR|HE4_LOW_VERIFIABILITY,8
DA-EVAL-V02-00002,118-2026-10-001133-00-1,MARITIMA DEL CALLAO 118,1,87032290,4,3,3-4 DAM,1,1,1,1,1,1,1.0,87032290,64,EXACT_NANDINA8,False,False,False,0.0,False,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,0,,,,NOT_EVALUATED,1,rank_1,1,1,1,1,1,1,0,1,9,NO,2,0,0,2,2,1,1,1,NO,NORMATIVE_EARLY_RANK_MISS|NORMATIVE_NOT_RECOVERED|DENSE_MISS|POOL_REFERENCE_MISS|GENERIC_NORMATIVE_WARNING_MISS|HE4_LOW_VERIFIABILITY|HE4_HISTORICAL_NORMATIVE_SEPARATION_WEAK|HE4_NOT_AUDITABLE,8
DA-EVAL-V02-00003,118-2026-10-001566-00-1,MARITIMA DEL CALLAO 118,1,87032290,4,3,3-4 DAM,1,1,1,1,1,1,1.0,87032290,64,EXACT_NANDINA8,False,False,False,0.0,False,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,0,,,,NOT_EVALUATED,1,rank_1,1,1,1,1,1,1,0,1,9,NO,2,0,0,2,2,1,1,1,NO,NORMATIVE_EARLY_RANK_MISS|NORMATIVE_NOT_RECOVERED|DENSE_MISS|POOL_REFERENCE_MISS|GENERIC_NORMATIVE_WARNING_MISS|HE4_LOW_VERIFIABILITY|HE4_HISTORICAL_NORMATIVE_SEPARATION_WEAK|HE4_NOT_AUDITABLE,8
DA-EVAL-V02-00004,118-2026-10-001787-00-1,MARITIMA DEL CALLAO 118,1,87032290,4,3,3-4 DAM,1,1,1,1,1,1,1.0,87032290,64,EXACT_NANDINA8,False,False,False,0.0,False,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,0,,,,NOT_EVALUATED,1,rank_1,1,1,1,1,1,1,1,1,14,SI,2,0,2,2,2,2,2,2,NO,NORMATIVE_EARLY_RANK_MISS|NORMATIVE_NOT_RECOVERED|DENSE_MISS|POOL_REFERENCE_MISS|HE4_LOW_VERIFIABILITY,5
DA-EVAL-V02-00005,118-2026-10-004975-00-1,MARITIMA DEL CALLAO 118,1,87087010,43,8,5+ DAM,6,0,0,0,1,1,0.16666666666666666,87083029,66,SAME_HS4,False,False,False,0.0,False,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,0,,,,NOT_EVALUATED,0,,0,0,,,,,,,,,,,,,,,,,,HISTORICAL_TOP1_ERROR|HISTORICAL_TOP3_MISS|NORMATIVE_EARLY_RANK_MISS|NORMATIVE_NOT_RECOVERED|DENSE_MISS|POOL_REFERENCE_MISS|HIERARCHICAL_SAME_HS4_ERROR,7
DA-EVAL-V02-00006,118-2026-10-004975-00-107,MARITIMA DEL CALLAO 118,107,87088020,170,8,5+ DAM,1,1,1,1,1,1,1.0,87088020,66,EXACT_NANDINA8,False,False,False,0.0,False,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,0,,,,NOT_EVALUATED,0,,0,0,,,,,,,,,,,,,,,,,,NORMATIVE_EARLY_RANK_MISS|NORMATIVE_NOT_RECOVERED|DENSE_MISS|POOL_REFERENCE_MISS,4
DA-EVAL-V02-00007,118-2026-10-004975-00-11,MARITIMA DEL CALLAO 118,11,87088020,170,8,5+ DAM,1,1,1,1,1,1,1.0,87088020,66,EXACT_NANDINA8,False,False,False,0.0,False,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,0,,,,NOT_EVALUATED,0,,0,0,,,,,,,,,,,,,,,,,,NORMATIVE_EARLY_RANK_MISS|NORMATIVE_NOT_RECOVERED|DENSE_MISS|POOL_REFERENCE_MISS,4
DA-EVAL-V02-00008,118-2026-10-004975-00-12,MARITIMA DEL CALLAO 118,12,87088020,170,8,5+ DAM,1,1,1,1,1,1,1.0,87088020,66,EXACT_NANDINA8,False,False,False,0.0,False,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,0,,,,NOT_EVALUATED,0,,0,0,,,,,,,,,,,,,,,,,,NORMATIVE_EARLY_RANK_MISS|NORMATIVE_NOT_RECOVERED|DENSE_MISS|POOL_REFERENCE_MISS,4
DA-EVAL-V02-00009,118-2026-10-004975-00-123,MARITIMA DEL CALLAO 118,123,87084090,64,6,5+ DAM,3,0,1,1,1,1,0.3333333333333333,87084010,61,SAME_HS6,False,False,False,0.0,False,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,0,,,,NOT_EVALUATED,0,,0,0,,,,,,,,,,,,,,,,,,HISTORICAL_TOP1_ERROR|NORMATIVE_EARLY_RANK_MISS|NORMATIVE_NOT_RECOVERED|DENSE_MISS|POOL_REFERENCE_MISS|HIERARCHICAL_SAME_HS6_ERROR,6
DA-EVAL-V02-00010,118-2026-10-004975-00-125,MARITIMA DEL CALLAO 118,125,87084090,64,6,5+ DAM,4,0,0,1,1,1,0.25,87089400,66,SAME_HS4,False,False,False,0.0,False,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,0,,,,NOT_EVALUATED,0,,0,0,,,,,,,,,,,,,,,,,,HISTORICAL_TOP1_ERROR|HISTORICAL_TOP3_MISS|NORMATIVE_EARLY_RANK_MISS|NORMATIVE_NOT_RECOVERED|DENSE_MISS|POOL_REFERENCE_MISS|HIERARCHICAL_SAME_HS4_ERROR,7
DA-EVAL-V02-00011,118-2026-10-004975-00-129,MARITIMA DEL CALLAO 118,129,87084090,64,6,5+ DAM,4,0,0,1,1,1,0.25,87089400,66,SAME_HS4,False,False,False,0.0,False,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,0,,,,NOT_EVALUATED,0,,0,0,,,,,,,,,,,,,,,,,,HISTORICAL_TOP1_ERROR|HISTORICAL_TOP3_MISS|NORMATIVE_EARLY_RANK_MISS|NORMATIVE_NOT_RECOVERED|DENSE_MISS|POOL_REFERENCE_MISS|HIERARCHICAL_SAME_HS4_ERROR,7
DA-EVAL-V02-00012,118-2026-10-004975-00-130,MARITIMA DEL CALLAO 118,130,87089999,321,13,5+ DAM,2,0,1,1,1,1,0.5,87149900,62,SAME_CHAPTER,False,False,False,0.0,False,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,7,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,3,3,0,,,,NOT_EVALUATED,0,,0,0,,,,,,,,,,,,,,,,,,HISTORICAL_TOP1_ERROR|NORMATIVE_EARLY_RANK_MISS|NORMATIVE_NOT_RECOVERED|POOL_REFERENCE_MISS|HIERARCHICAL_SAME_CHAPTER_ERROR,5
DA-EVAL-V02-00013,118-2026-10-004975-00-137,MARITIMA DEL CALLAO 118,137,87089999,321,13,5+ DAM,18,0,0,0,0,1,0.05555555555555555,87089400,61,SAME_HS4,False,False,False,0.0,False,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,52,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,3,3,0,,,,NOT_EVALUATED,0,,0,0,,,,,,,,,,,,,,,,,,HISTORICAL_TOP1_ERROR|HISTORICAL_TOP3_MISS|NORMATIVE_EARLY_RANK_MISS|NORMATIVE_NOT_RECOVERED|POOL_REFERENCE_MISS|HIERARCHICAL_SAME_HS4_ERROR,6
DA-EVAL-V02-00014,118-2026-10-004975-00-140,MARITIMA DEL CALLAO 118,140,87089999,321,13,5+ DAM,4,0,0,1,1,1,0.25,87089400,64,SAME_HS4,False,False,False,0.0,False,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,18,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,3,3,0,,,,NOT_EVALUATED,0,,0,0,,,,,,,,,,,,,,,,,,HISTORICAL_TOP1_ERROR|HISTORICAL_TOP3_MISS|NORMATIVE_EARLY_RANK_MISS|NORMATIVE_NOT_RECOVERED|POOL_REFERENCE_MISS|HIERARCHICAL_SAME_HS4_ERROR,6
DA-EVAL-V02-00015,118-2026-10-004975-00-151,MARITIMA DEL CALLAO 118,151,87089999,321,13,5+ DAM,13,0,0,0,0,1,0.07692307692307693,87089939,61,SAME_HS6,False,False,False,0.0,False,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,51,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,3,3,0,,,,NOT_EVALUATED,0,,0,0,,,,,,,,,,,,,,,,,,HISTORICAL_TOP1_ERROR|HISTORICAL_TOP3_MISS|NORMATIVE_EARLY_RANK_MISS|NORMATIVE_NOT_RECOVERED|POOL_REFERENCE_MISS|HIERARCHICAL_SAME_HS6_ERROR,6
DA-EVAL-V02-00016,118-2026-10-004975-00-153,MARITIMA DEL CALLAO 118,153,87089999,321,13,5+ DAM,3,0,1,1,1,1,0.3333333333333333,87141090,62,SAME_CHAPTER,False,False,False,0.0,False,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,99,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,3,3,0,,,,NOT_EVALUATED,0,,0,0,,,,,,,,,,,,,,,,,,HISTORICAL_TOP1_ERROR|NORMATIVE_EARLY_RANK_MISS|NORMATIVE_NOT_RECOVERED|POOL_REFERENCE_MISS|HIERARCHICAL_SAME_CHAPTER_ERROR,5
DA-EVAL-V02-00017,118-2026-10-004975-00-163,MARITIMA DEL CALLAO 118,163,87089929,16,3,3-4 DAM,1,1,1,1,1,1,1.0,87089929,61,EXACT_NANDINA8,False,False,False,0.0,False,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,0,,,,NOT_EVALUATED,1,rank_1,1,1,1,1,1,1,0,1,10,NO,2,1,1,2,2,0,1,1,NO,NORMATIVE_EARLY_RANK_MISS|NORMATIVE_NOT_RECOVERED|DENSE_MISS|POOL_REFERENCE_MISS|GENERIC_NORMATIVE_WARNING_MISS|HE4_LOW_VERIFIABILITY|HE4_HISTORICAL_NORMATIVE_SEPARATION_WEAK|HE4_NOT_AUDITABLE,8
DA-EVAL-V02-00018,118-2026-10-004975-00-18,MARITIMA DEL CALLAO 118,18,87089100,51,5,5+ DAM,2,0,1,1,1,1,0.5,87141090,63,SAME_CHAPTER,False,False,False,0.0,False,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,0,,,,NOT_EVALUATED,0,,0,0,,,,,,,,,,,,,,,,,,HISTORICAL_TOP1_ERROR|NORMATIVE_EARLY_RANK_MISS|NORMATIVE_NOT_RECOVERED|DENSE_MISS|POOL_REFERENCE_MISS|HIERARCHICAL_SAME_CHAPTER_ERROR,6
DA-EVAL-V02-00019,118-2026-10-004975-00-21,MARITIMA DEL CALLAO 118,21,87089999,321,13,5+ DAM,13,0,0,0,0,1,0.07692307692307693,87088020,66,SAME_HS4,False,False,False,0.0,False,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,46,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,3,3,0,,,,NOT_EVALUATED,0,,0,0,,,,,,,,,,,,,,,,,,HISTORICAL_TOP1_ERROR|HISTORICAL_TOP3_MISS|NORMATIVE_EARLY_RANK_MISS|NORMATIVE_NOT_RECOVERED|POOL_REFERENCE_MISS|HIERARCHICAL_SAME_HS4_ERROR,6
DA-EVAL-V02-00020,118-2026-10-004975-00-223,MARITIMA DEL CALLAO 118,223,87089939,18,5,5+ DAM,5,0,0,1,1,1,0.2,87089400,66,SAME_HS4,False,False,False,0.0,False,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,0,,,,NOT_EVALUATED,0,,0,0,,,,,,,,,,,,,,,,,,HISTORICAL_TOP1_ERROR|HISTORICAL_TOP3_MISS|NORMATIVE_EARLY_RANK_MISS|NORMATIVE_NOT_RECOVERED|DENSE_MISS|POOL_REFERENCE_MISS|HIERARCHICAL_SAME_HS4_ERROR,7
DA-EVAL-V02-00021,118-2026-10-004975-00-224,MARITIMA DEL CALLAO 118,224,87089999,321,13,5+ DAM,6,0,0,0,1,1,0.16666666666666666,87089400,66,SAME_HS4,False,False,False,0.0,False,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,92,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,3,3,0,,,,NOT_EVALUATED,0,,0,0,,,,,,,,,,,,,,,,,,HISTORICAL_TOP1_ERROR|HISTORICAL_TOP3_MISS|NORMATIVE_EARLY_RANK_MISS|NORMATIVE_NOT_RECOVERED|POOL_REFERENCE_MISS|HIERARCHICAL_SAME_HS4_ERROR,6
DA-EVAL-V02-00022,118-2026-10-004975-00-230,MARITIMA DEL CALLAO 118,230,87089400,33,11,5+ DAM,1,1,1,1,1,1,1.0,87089400,61,EXACT_NANDINA8,False,False,False,0.0,False,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,3,3,0,,,,NOT_EVALUATED,0,,0,0,,,,,,,,,,,,,,,,,,DENSE_MISS,1
DA-EVAL-V02-00023,118-2026-10-004975-00-242,MARITIMA DEL CALLAO 118,242,87089939,18,5,5+ DAM,7,0,0,0,1,1,0.14285714285714285,87089400,66,SAME_HS4,False,False,False,0.0,False,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,0,,,,NOT_EVALUATED,0,,0,0,,,,,,,,,,,,,,,,,,HISTORICAL_TOP1_ERROR|HISTORICAL_TOP3_MISS|NORMATIVE_EARLY_RANK_MISS|NORMATIVE_NOT_RECOVERED|DENSE_MISS|POOL_REFERENCE_MISS|HIERARCHICAL_SAME_HS4_ERROR,7
