case_id,query,historical_rank,historical_candidate_code,historical_score,historical_candidate_history_rank,historical_precedent_ids,historical_precedent_count,historical_precedent_case_id,historical_precedent_id_unico,historical_precedent_dam,historical_precedent_serie,historical_precedent_code,historical_precedent_description,traceability_complete,normative_evidence_status,normative_doc_ids,normative_source,normative_version,normative_type,normative_document_code,normative_source_page,normative_source_line,normative_evidence_reference,has_exact_nandina8_evidence,has_hs6_evidence,has_hs4_evidence,has_chapter_evidence,normative_corpus_sha256
DA-EVAL-V02-00001,"M1,NISSAN,MURANO VE:SL,2024 CA:SUV,C1:AZUL,CO:GASOLINA,SN:0 NC:6,CC:3500,CH/VIN:5N1AZ2CJ3RC101423,MO:VQ35754666W AS:5,FR:4X2,TT:AUT,PA:4,PM: 191.00@6000.00,PB:2318,PN:1770,CU:548 BSA,LET, ,KM:24597.00,TE:ENCENDIDO POR CHISPA LA:4850,AN:1850,AL:1720, NR:4,AR:55/20, 55",1,87032390,76.6477018869936,1,DA-HIST-V02-00484,1,DA-HIST-V02-00484,118-2026-10-048311-00-1,118-2026-10-048311-00,1,87032390,"M1,TOYOTA,RAV4 VE:XLE AWD,2025 CA:SUV,C1:BLANCO,CO:GASOLINA,SN:0 NC:4,CC:2500,CH/VIN:2T3P1RFV8SW609645,MO:A25A553768 AS:5,FR:4X4,TT:AUT,PA:4,PM: 152.00@6600.00,PB:2090,PN:1570,CU:520 SAC,KM:1575.00,TE:ENCENDIDO POR CHISPA LA:4600,AN:1865,AL:1685, NR:4,AR:17/17,N1:225/55R17",1,exact_nandina8_evidence,NANDINA_87032390,NANDINA,hierarchical_v0.1,nandina_8,87032390,403,35,8703.23.90 - - - Los demás u,1,1,1,1,f389ae6c303279cfea23697cbedb3315a5254254c2efc2450cf28f81243df175
DA-EVAL-V02-00001,"M1,NISSAN,MURANO VE:SL,2024 CA:SUV,C1:AZUL,CO:GASOLINA,SN:0 NC:6,CC:3500,CH/VIN:5N1AZ2CJ3RC101423,MO:VQ35754666W AS:5,FR:4X2,TT:AUT,PA:4,PM: 191.00@6000.00,PB:2318,PN:1770,CU:548 BSA,LET, ,KM:24597.00,TE:ENCENDIDO POR CHISPA LA:4850,AN:1850,AL:1720, NR:4,AR:55/20, 55",2,87032290,70.23602801542937,2,DA-HIST-V02-00512,1,DA-HIST-V02-00512,118-2026-10-096423-00-1,118-2026-10-096423-00,1,87032290,"M1,PEUGEOT,208 VE:R4,2025 CA:HATCHBACK,C1:BLANCO,CO:GASOLINA,SN:0 NC:3,CC:1199,CH/VIN:VR3UPHPY4S4001847,MO:1184 AS:2,FR:4X2,TT:AUT,PA:1,PM: 158.00@5500.00,PB:1250,PN:1080,CU:170 SAC,KM:0.00,TE:ENCENDIDO POR CHISPA LA:4052,AN:1738,AL:1430, NR:4,AR:7 /17,N1:205/45R17,DE",1,exact_nandina8_evidence,NANDINA_87032290,NANDINA,hierarchical_v0.1,nandina_8,87032290,403,32,8703.22.90 - - - Los demás u,1,1,1,1,f389ae6c303279cfea23697cbedb3315a5254254c2efc2450cf28f81243df175
DA-EVAL-V02-00001,"M1,NISSAN,MURANO VE:SL,2024 CA:SUV,C1:AZUL,CO:GASOLINA,SN:0 NC:6,CC:3500,CH/VIN:5N1AZ2CJ3RC101423,MO:VQ35754666W AS:5,FR:4X2,TT:AUT,PA:4,PM: 191.00@6000.00,PB:2318,PN:1770,CU:548 BSA,LET, ,KM:24597.00,TE:ENCENDIDO POR CHISPA LA:4850,AN:1850,AL:1720, NR:4,AR:55/20, 55",3,87038090,59.20316624724474,4,DA-HIST-V02-00150,1,DA-HIST-V02-00150,118-2026-10-008011-00-1,118-2026-10-008011-00,1,87038090,"L7,YONSLAND,K5 VE:2026,2026 CA:CUATRIMOTO,C1:BLANCO,CO:ELECTRICO,SN:0 NC:17,CH/VIN:LW0SWGZ13T4260009,MO:NP60V2000W80H2505283 AS:4,FR:4X4,TT:AUT,PA:4,PM: 4.00@ 4.00,PB:716,PN:316,CU:400 SAC,KM:1.00,TE:ELECTRICO LA:2813,AN:1240,AL:1680, NR:4,MC:YONSLAND,SC:LW0SWGZ13T4260009 C",1,exact_nandina8_evidence,NANDINA_87038090,NANDINA,hierarchical_v0.1,nandina_8,87038090,404,17,8703.80.90 - - Los demás u,1,1,1,1,f389ae6c303279cfea23697cbedb3315a5254254c2efc2450cf28f81243df175
DA-EVAL-V02-00002,"M1 SUV TOYOTA RAIZE 1.2 MID MT AÑO 2026 A251LA-GMXF C1:BLANCO, CO:GASOLINA, SN:0, NR:4, AR:16/7, N1:205/65R16, DE:2525 NC:3, CC:1198, CH:MHKAB1BA7TJ144093, VI:MHKAB1BA7TJ144093, MO:WAA210259 AS:5, EJ:2, FR:4X2, TT:MEC, PA:4, PM:65@6000 ACD, LET, ARA, BSA, CRT, DAS, EAV, EEL, PEL, KLM:35, LA:4030, AN:1710, AL:1605",1,87032290,74.34277876764061,1,DA-HIST-V02-00508,1,DA-HIST-V02-00508,118-2026-10-069870-00-1,118-2026-10-069870-00,1,87032290,"M1 MARCA:JAC, MODELO:JS2, Año 2027, VERSION:JS2 1.5 MT COMFORT CA:SUV, C1:ROJO, CO:GASOLINA, SN:0, NR:4, AR:16/6, N1:205/55R16, DE:2490 NC:4, CC:1499, CH:LJ12EKR25V4000579, VI:LJ12EKR25V4000579, MO:HFC4GB2.3DS3374907 AS:5, EJ:2, FR:4X2, TT:MEC, PA:4, PM:82@6000, PB:1560, PN:1185, CU:375 ACD, LET, ARA, EEA, KLM:60, LA:4135, AN:1750, AL:1568, SD:MC PHERSON INDEP, SP:SEMI INDEP",1,exact_nandina8_evidence,NANDINA_87032290,NANDINA,hierarchical_v0.1,nandina_8,87032290,403,32,8703.22.90 - - - Los demás u,1,1,1,1,f389ae6c303279cfea23697cbedb3315a5254254c2efc2450cf28f81243df175
DA-EVAL-V02-00002,"M1 SUV TOYOTA RAIZE 1.2 MID MT AÑO 2026 A251LA-GMXF C1:BLANCO, CO:GASOLINA, SN:0, NR:4, AR:16/7, N1:205/65R16, DE:2525 NC:3, CC:1198, CH:MHKAB1BA7TJ144093, VI:MHKAB1BA7TJ144093, MO:WAA210259 AS:5, EJ:2, FR:4X2, TT:MEC, PA:4, PM:65@6000 ACD, LET, ARA, BSA, CRT, DAS, EAV, EEL, PEL, KLM:35, LA:4030, AN:1710, AL:1605",2,87034090,55.89443790192783,3,DA-HIST-V02-00483,1,DA-HIST-V02-00483,118-2026-10-047354-00-1,118-2026-10-047354-00,1,87034090,"M1,Marca:TOYOTA,Modelo:RAV 4,VE:HEV 2.5 FULL D-LUX 4X2 CVT,Año Mod.:2026 ,NR:4,AR:18/7,N1:225/65R18,N2:225/65R18,DE:2690 NC:4,CC:2487,CH:JTMW23FV2TD210444,VI:JTMW23FV2TD210444,MO:A25AS726370,ACC:AIRE ACONDICIONA AS:05,EJ:02,FR:4X2,TT:CVT,PA:4,PM:131@5700,PB:2180,PN:1710,CU:470 CA:SUV,C1:GRIS,CO:HÍBRIDO (GASOLINA/BA,SN:0,LA:4600,AN:1855,AL:1685",1,exact_nandina8_evidence,NANDINA_87034090,NANDINA,hierarchical_v0.1,nandina_8,87034090,403,55,8703.40.90 - - Los demás u,1,1,1,1,f389ae6c303279cfea23697cbedb3315a5254254c2efc2450cf28f81243df175
DA-EVAL-V02-00002,"M1 SUV TOYOTA RAIZE 1.2 MID MT AÑO 2026 A251LA-GMXF C1:BLANCO, CO:GASOLINA, SN:0, NR:4, AR:16/7, N1:205/65R16, DE:2525 NC:3, CC:1198, CH:MHKAB1BA7TJ144093, VI:MHKAB1BA7TJ144093, MO:WAA210259 AS:5, EJ:2, FR:4X2, TT:MEC, PA:4, PM:65@6000 ACD, LET, ARA, BSA, CRT, DAS, EAV, EEL, PEL, KLM:35, LA:4030, AN:1710, AL:1605",3,87038090,49.553631505737236,6,DA-HIST-V02-00061,1,DA-HIST-V02-00061,118-2026-10-002710-00-3,118-2026-10-002710-00,3,87038090,"M1,YONSLAND,D21 VE:2026,2026 CA:HATCHBACK,C1:BLANCO,CO:ELECTRICO,SN:0 CC:0,CH/VIN:LW0SWKZ11T4260002,MO:3.0 KW / 3000 RPM AS:4,FR:4X2,TT:AUT,PA:4,PM: 1.00@ 4.00,PB:1200,PN:400,CU:800 SAC,KM:1.00 LA:3100,AN:1500,AL:1430, NR:4,AR:15/19, 15/19,N1:255/45 19,N2:255 /45 19,DE:2",1,exact_nandina8_evidence,NANDINA_87038090,NANDINA,hierarchical_v0.1,nandina_8,87038090,404,17,8703.80.90 - - Los demás u,1,1,1,1,f389ae6c303279cfea23697cbedb3315a5254254c2efc2450cf28f81243df175
DA-EVAL-V02-00003,"M1 SUV TOYOTA RUSH 1.5 FULL MT AÑO 2026 F800LE-GMMF C1:BLANCO, CO:GASOLINA, SN:0, NR:4, AR:16/7, N1:215/65R16, DE:2685 NC:4, CC:1496, CH:MHKE8FE20TK033122, VI:MHKE8FE20TK033122, MO:2NR4E96988 AS:7, EJ:2, FR:4X2, TT:MEC, PA:6, PM:76@6000 ACD, LET, ARA, CLM, BSA, DAS, EEL, PEL, KLM:35, LA:4435, AN:1695, AL:1705",1,87032290,72.47424441403771,1,DA-HIST-V02-00508,1,DA-HIST-V02-00508,118-2026-10-069870-00-1,118-2026-10-069870-00,1,87032290,"M1 MARCA:JAC, MODELO:JS2, Año 2027, VERSION:JS2 1.5 MT COMFORT CA:SUV, C1:ROJO, CO:GASOLINA, SN:0, NR:4, AR:16/6, N1:205/55R16, DE:2490 NC:4, CC:1499, CH:LJ12EKR25V4000579, VI:LJ12EKR25V4000579, MO:HFC4GB2.3DS3374907 AS:5, EJ:2, FR:4X2, TT:MEC, PA:4, PM:82@6000, PB:1560, PN:1185, CU:375 ACD, LET, ARA, EEA, KLM:60, LA:4135, AN:1750, AL:1568, SD:MC PHERSON INDEP, SP:SEMI INDEP",1,exact_nandina8_evidence,NANDINA_87032290,NANDINA,hierarchical_v0.1,nandina_8,87032290,403,32,8703.22.90 - - - Los demás u,1,1,1,1,f389ae6c303279cfea23697cbedb3315a5254254c2efc2450cf28f81243df175
DA-EVAL-V02-00003,"M1 SUV TOYOTA RUSH 1.5 FULL MT AÑO 2026 F800LE-GMMF C1:BLANCO, CO:GASOLINA, SN:0, NR:4, AR:16/7, N1:215/65R16, DE:2685 NC:4, CC:1496, CH:MHKE8FE20TK033122, VI:MHKE8FE20TK033122, MO:2NR4E96988 AS:7, EJ:2, FR:4X2, TT:MEC, PA:6, PM:76@6000 ACD, LET, ARA, CLM, BSA, DAS, EEL, PEL, KLM:35, LA:4435, AN:1695, AL:1705",2,87034090,56.30669245460679,3,DA-HIST-V02-00483,1,DA-HIST-V02-00483,118-2026-10-047354-00-1,118-2026-10-047354-00,1,87034090,"M1,Marca:TOYOTA,Modelo:RAV 4,VE:HEV 2.5 FULL D-LUX 4X2 CVT,Año Mod.:2026 ,NR:4,AR:18/7,N1:225/65R18,N2:225/65R18,DE:2690 NC:4,CC:2487,CH:JTMW23FV2TD210444,VI:JTMW23FV2TD210444,MO:A25AS726370,ACC:AIRE ACONDICIONA AS:05,EJ:02,FR:4X2,TT:CVT,PA:4,PM:131@5700,PB:2180,PN:1710,CU:470 CA:SUV,C1:GRIS,CO:HÍBRIDO (GASOLINA/BA,SN:0,LA:4600,AN:1855,AL:1685",1,exact_nandina8_evidence,NANDINA_87034090,NANDINA,hierarchical_v0.1,nandina_8,87034090,403,55,8703.40.90 - - Los demás u,1,1,1,1,f389ae6c303279cfea23697cbedb3315a5254254c2efc2450cf28f81243df175
DA-EVAL-V02-00003,"M1 SUV TOYOTA RUSH 1.5 FULL MT AÑO 2026 F800LE-GMMF C1:BLANCO, CO:GASOLINA, SN:0, NR:4, AR:16/7, N1:215/65R16, DE:2685 NC:4, CC:1496, CH:MHKE8FE20TK033122, VI:MHKE8FE20TK033122, MO:2NR4E96988 AS:7, EJ:2, FR:4X2, TT:MEC, PA:6, PM:76@6000 ACD, LET, ARA, CLM, BSA, DAS, EEL, PEL, KLM:35, LA:4435, AN:1695, AL:1705",3,87032390,47.684811684750436,6,DA-HIST-V02-00484,1,DA-HIST-V02-00484,118-2026-10-048311-00-1,118-2026-10-048311-00,1,87032390,"M1,TOYOTA,RAV4 VE:XLE AWD,2025 CA:SUV,C1:BLANCO,CO:GASOLINA,SN:0 NC:4,CC:2500,CH/VIN:2T3P1RFV8SW609645,MO:A25A553768 AS:5,FR:4X4,TT:AUT,PA:4,PM: 152.00@6600.00,PB:2090,PN:1570,CU:520 SAC,KM:1575.00,TE:ENCENDIDO POR CHISPA LA:4600,AN:1865,AL:1685, NR:4,AR:17/17,N1:225/55R17",1,exact_nandina8_evidence,NANDINA_87032390,NANDINA,hierarchical_v0.1,nandina_8,87032390,403,35,8703.23.90 - - - Los demás u,1,1,1,1,f389ae6c303279cfea23697cbedb3315a5254254c2efc2450cf28f81243df175
DA-EVAL-V02-00004,"M1 SUV TOYOTA RAIZE 1.2 MID CVT AÑO 2026 A251LA-GBXF C1:GRIS OSCURO METALICO, CO:GASOLINA, SN:0, NR:4, AR:16/7, N1:205/65R16, DE:2525 NC:3, CC:1198, CH:MHKAB1BA5TJ144576, VI:MHKAB1BA5TJ144576, MO:WAA210899 AS:5, EJ:2, FR:4X2, TT:CVT, PA:4, PM:65@6000 ACD, LET, ARA, BSA, CRT, DAS, EAV, EEL, PEL, KLM:35, LA:4030, AN:1710, AL:1605",1,87032290,71.87069935830961,1,DA-HIST-V02-00509,1,DA-HIST-V02-00509,118-2026-10-073097-00-1,118-2026-10-073097-00,1,87032290,"M1,MARCA:HONDA,MODELO:CR-V,VE:EX,AÑO MOD:2026 CH:2HKRS384XTH650326,VI:2HKRS384XTH650326,MO:L15BE-8507843,CC:1498,NC:4,CO:GASOLINA,SNTT:0 CA:SUV,PM:140.00@6000,AS:5,EJ:2,PA:4,FR:4X2,TT:CVT,C1:GRIS METEOROID PB:2160,PN:1602,CU:558,LA:4706,AN:1866,AL:1680,NR:4,AR1:18/8,N1:235/60R18,DE:2701 AC:ACD,ARA,ASE,BSA,CLM,CRT,CTC,TCO,DAS,EEA,EEL,LET,PEL,TCH,TCI,KILOMETRAJE:25.00, LOTE: 00",1,exact_nandina8_evidence,NANDINA_87032290,NANDINA,hierarchical_v0.1,nandina_8,87032290,403,32,8703.22.90 - - - Los demás u,1,1,1,1,f389ae6c303279cfea23697cbedb3315a5254254c2efc2450cf28f81243df175
