metric,bm25_historical_v0_1,bm25_historical_v0_2,delta_v02_minus_v01
mrr,0.9062394558614824,0.6297077493524843,-0.27653170650899805
exact_at_1,0.8628230616302187,0.509469696969697,-0.3533533646605217
exact_at_3,0.937375745526839,0.6714015151515151,-0.26597423037532386
exact_at_5,0.9592445328031809,0.7632575757575758,-0.1959869570456051
exact_at_10,0.9801192842942346,0.8910984848484849,-0.0890207994457497
exact_at_50,1.0,0.9914772727272727,-0.008522727272727293
partida_at_10,1.0,0.9990530303030303,-0.0009469696969697239
sub_partida_at_10,0.9920477137176938,0.9375,-0.054547713717693846
clase_at_10,1.0,1.0,0.0
partida_at_50,1.0,1.0,0.0
sub_partida_at_50,1.0,1.0,0.0
clase_at_50,1.0,1.0,0.0
