nandina,historical_support_count_series,eval_cases,recovered_at_50,failures_at_50,exact_at_1,exact_at_10,exact_at_50,mrr
87082910,19,56,47,9,0.19642857142857142,0.6785714285714286,0.8392857142857143,0.3486053288870407
87032100,76,235,235,0,0.8680851063829788,1.0,1.0,0.8900709219858157
87089999,321,147,147,0,0.3673469387755102,0.9523809523809523,1.0,0.5432821174867996
87082920,269,89,89,0,0.6404494382022472,0.9775280898876404,1.0,0.7389862946042721
87141090,36,68,68,0,0.17647058823529413,0.9117647058823529,1.0,0.38131525337407685
87082990,184,64,64,0,0.265625,0.75,1.0,0.41573352701327754
87081000,495,38,38,0,0.631578947368421,0.9736842105263158,1.0,0.7431032290872107
87083029,156,32,32,0,0.15625,0.78125,1.0,0.37819671647796643
87089400,33,31,31,0,0.2903225806451613,0.9032258064516129,1.0,0.5875350140056023
87032290,4,28,28,0,0.9285714285714286,1.0,1.0,0.9642857142857143
87089100,51,27,27,0,0.7407407407407407,0.9629629629629629,1.0,0.837742504409171
87088020,170,25,25,0,0.48,0.8,1.0,0.6035820105820107
87082930,63,21,21,0,0.5714285714285714,0.7142857142857143,1.0,0.6539645340720609
87149400,28,19,19,0,0.0,0.8421052631578947,1.0,0.19440647072226017
87085011,10,17,17,0,0.7058823529411765,0.9411764705882353,1.0,0.8263305322128851
87087010,43,17,17,0,0.23529411764705882,0.7647058823529411,1.0,0.48974396776254364
87089200,11,15,15,0,0.8666666666666667,0.9333333333333333,1.0,0.8923976608187135
87087020,17,14,14,0,0.14285714285714285,0.5,1.0,0.2400793650793651
87089939,18,12,12,0,0.16666666666666666,0.5,1.0,0.26688859391348874
87079090,5,9,9,0,0.3333333333333333,1.0,1.0,0.6666666666666666
87084090,64,9,9,0,0.3333333333333333,0.8888888888888888,1.0,0.5425925925925925
87089929,16,8,8,0,0.875,1.0,1.0,0.9375
87082100,7,7,7,0,0.8571428571428571,1.0,1.0,0.9285714285714286
87088090,94,7,7,0,0.0,0.2857142857142857,1.0,0.06534192624418188
87089399,62,7,7,0,0.0,0.7142857142857143,1.0,0.17847138855542216
87089950,5,7,7,0,0.5714285714285714,1.0,1.0,0.7428571428571429
87032390,1,6,6,0,0.3333333333333333,1.0,1.0,0.4986111111111111
87042110,1,6,6,0,0.8333333333333334,1.0,1.0,0.9166666666666666
87149900,21,6,6,0,0.16666666666666666,0.5,1.0,0.23634920634920634
87089391,141,5,5,0,0.6,1.0,1.0,0.7
87085019,16,4,4,0,0.0,0.0,1.0,0.045925925925925926
87082940,8,3,3,0,0.3333333333333333,0.3333333333333333,1.0,0.35901234567901236
87089921,10,3,3,0,0.6666666666666666,1.0,1.0,0.8333333333333334
87032310,1,2,2,0,0.0,1.0,1.0,0.15555555555555556
87038090,3,2,2,0,0.5,1.0,1.0,0.6666666666666666
87083021,10,2,2,0,1.0,1.0,1.0,1.0
87084010,12,2,2,0,1.0,1.0,1.0,1.0
87089500,2,2,2,0,0.0,0.0,1.0,0.022222222222222223
87032410,1,1,1,0,0.0,1.0,1.0,0.25
87083025,45,1,1,0,0.0,0.0,1.0,0.03571428571428571
87089919,9,1,1,0,0.0,0.0,1.0,0.023809523809523808
87142000,11,1,1,0,0.0,1.0,1.0,0.14285714285714285
