strategy,pool_id,classification,depth,top_1,top_3,top_5,top_10,top_50,recall_at_100,mrr_at_100,nominal_size,effective_size_mean,effective_size_min,effective_size_max,effective_size_median,pool_recall,pool_recall_numerator,pool_recall_denominator,hs6_at_depth,hs4_at_depth,chapter_at_depth
Historical BM25,,ranking,,0.509469696969697,0.6714015151515151,0.7632575757575758,0.8910984848484849,0.9914772727272727,0.9914772727272727,0.6297077493524843,,,,,,,,,,,
Normative BM25 flat,,ranking,,0.027462121212121212,0.05113636363636364,0.061553030303030304,0.06534090909090909,0.07007575757575757,0.07102272727272728,0.04229731726741296,,,,,,,,,,,
Normative BM25 hierarchical,,ranking,,0.026515151515151516,0.052083333333333336,0.0625,0.06534090909090909,0.09090909090909091,0.10132575757575757,0.04198129438896378,,,,,,,,,,,
D1a Text2Trade-inspired MNRL,,ranking,,0.0,0.003787878787878788,0.03409090909090909,0.15625,0.3058712121212121,0.3456439393939394,0.0324243263903463,,,,,,,,,,,
Dual protected historical,,ranking,,0.021780303030303032,0.041666666666666664,0.052083333333333336,0.06439393939393939,0.09185606060606061,0.10037878787878787,0.03700253672870884,,,,,,,,,,,
,hierarchical_only,candidate_pool,50,,,,,,,,50,49.92518939393939,15,50,50.0,0.09090909090909091,96,1056,0.10037878787878787,0.18181818181818182,0.3778409090909091
,hierarchical_only,candidate_pool,100,,,,,,,,100,99.76136363636364,15,100,100.0,0.10132575757575757,107,1056,0.11174242424242424,0.25,0.509469696969697
,hierarchical_only,candidate_pool,200,,,,,,,,200,192.10511363636363,15,200,200.0,0.3039772727272727,321,1056,0.34375,0.5009469696969697,0.7670454545454546
,dual_only,candidate_pool,50,,,,,,,,50,49.92045454545455,15,50,50.0,0.09185606060606061,97,1056,0.10037878787878787,0.18181818181818182,0.39109848484848486
,dual_only,candidate_pool,100,,,,,,,,100,99.45075757575758,15,100,100.0,0.10037878787878787,106,1056,0.11458333333333333,0.2566287878787879,0.5473484848484849
,dual_only,candidate_pool,200,,,,,,,,200,191.1221590909091,15,200,200.0,0.26609848484848486,281,1056,0.32196969696969696,0.48579545454545453,0.7831439393939394
,hierarchical_first_100,candidate_pool,50,,,,,,,,50,49.92518939393939,15,50,50.0,0.09090909090909091,96,1056,0.10037878787878787,0.18181818181818182,0.3778409090909091
,hierarchical_first_100,candidate_pool,100,,,,,,,,100,99.76136363636364,15,100,100.0,0.10132575757575757,107,1056,0.11174242424242424,0.25,0.509469696969697
,hierarchical_first_100,candidate_pool,200,,,,,,,,200,192.10511363636363,15,200,200.0,0.26515151515151514,280,1056,0.3172348484848485,0.48295454545454547,0.7821969696969697
,hierarchical_80_dual_backfill_20,candidate_pool,50,,,,,,,,50,49.92518939393939,15,50,50.0,0.09090909090909091,96,1056,0.10037878787878787,0.18181818181818182,0.3778409090909091
,hierarchical_80_dual_backfill_20,candidate_pool,100,,,,,,,,100,99.76136363636364,15,100,100.0,0.10132575757575757,107,1056,0.11174242424242424,0.25,0.509469696969697
,hierarchical_80_dual_backfill_20,candidate_pool,200,,,,,,,,200,192.10511363636363,15,200,200.0,0.3039772727272727,321,1056,0.34375,0.5009469696969697,0.7670454545454546
,hierarchical_70_dual_backfill_30,candidate_pool,50,,,,,,,,50,49.92518939393939,15,50,50.0,0.09090909090909091,96,1056,0.10037878787878787,0.18181818181818182,0.3778409090909091
,hierarchical_70_dual_backfill_30,candidate_pool,100,,,,,,,,100,99.76136363636364,15,100,100.0,0.10227272727272728,108,1056,0.11268939393939394,0.2509469696969697,0.509469696969697
,hierarchical_70_dual_backfill_30,candidate_pool,200,,,,,,,,200,192.10511363636363,15,200,200.0,0.3039772727272727,321,1056,0.34375,0.5009469696969697,0.7670454545454546
,diagnostic_union_hierarchical_dual,diagnostic_union,50,,,,,,,,50,56.26231060606061,15,93,55.0,0.09375,99,1056,0.10227272727272728,0.1875,0.39299242424242425
,diagnostic_union_hierarchical_dual,diagnostic_union,100,,,,,,,,100,112.7215909090909,15,164,109.0,0.10700757575757576,113,1056,0.11931818181818182,0.25757575757575757,0.5511363636363636
,diagnostic_union_hierarchical_dual,diagnostic_union,200,,,,,,,,200,217.76988636363637,15,354,226.0,0.30492424242424243,322,1056,0.3484848484848485,0.5142045454545454,0.7831439393939394
