run_id,internal_exact_duplicates,internal_exact_duplicate_pairs,hist_eval_exact_matches,hist_eval_exact_match_rate,hist_eval_near_090,hist_eval_near_090_rate,hist_eval_near_090_pairs,hist_eval_near_095,hist_eval_near_095_rate,hist_eval_near_095_pairs,hist_eval_near_098,hist_eval_near_098_rate,hist_eval_near_098_pairs,condition_id,replicate_id
H100_REEXECUTED_CHECK,1490,2782,35,0.03314393939393939,55,0.052083333333333336,82,44,0.041666666666666664,46,37,0.035037878787878785,38,H100,H100_REFERENCE
H25-R01,80,111,35,0.03314393939393939,55,0.052083333333333336,82,44,0.041666666666666664,46,37,0.035037878787878785,38,H25,H25-R01
H25-R02,78,110,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,H25,H25-R02
H25-R03,82,112,35,0.03314393939393939,55,0.052083333333333336,82,44,0.041666666666666664,46,37,0.035037878787878785,38,H25,H25-R03
H25-R04,75,107,35,0.03314393939393939,55,0.052083333333333336,82,44,0.041666666666666664,46,37,0.035037878787878785,38,H25,H25-R04
H25-R05,77,108,35,0.03314393939393939,55,0.052083333333333336,82,44,0.041666666666666664,46,37,0.035037878787878785,38,H25,H25-R05
H25-R06,9,6,35,0.03314393939393939,55,0.052083333333333336,82,44,0.041666666666666664,46,37,0.035037878787878785,38,H25,H25-R06
H25-R07,80,111,0,0.0,9,0.008522727272727272,13,3,0.002840909090909091,4,1,0.000946969696969697,2,H25,H25-R07
H25-R08,76,109,0,0.0,9,0.008522727272727272,13,3,0.002840909090909091,4,1,0.000946969696969697,2,H25,H25-R08
H25-R09,82,112,35,0.03314393939393939,55,0.052083333333333336,82,44,0.041666666666666664,46,37,0.035037878787878785,38,H25,H25-R09
H25-R10,10,5,35,0.03314393939393939,55,0.052083333333333336,82,44,0.041666666666666664,46,37,0.035037878787878785,38,H25,H25-R10
H50-D1-R01,733,1371,35,0.03314393939393939,46,0.043560606060606064,69,41,0.038825757575757576,42,36,0.03409090909090909,36,H50,H50-D1-R01
H50-D2-R01,824,1514,35,0.03314393939393939,55,0.052083333333333336,82,44,0.041666666666666664,46,37,0.035037878787878785,38,H50,H50-D2-R01
H50-D1-R02,738,1375,0,0.0,9,0.008522727272727272,13,3,0.002840909090909091,4,1,0.000946969696969697,2,H50,H50-D1-R02
H50-D2-R02,746,1404,35,0.03314393939393939,46,0.043560606060606064,69,41,0.038825757575757576,42,36,0.03409090909090909,36,H50,H50-D2-R02
H50-D1-R03,672,1271,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,H50,H50-D1-R03
H50-D2-R03,820,1512,0,0.0,9,0.008522727272727272,13,3,0.002840909090909091,4,1,0.000946969696969697,2,H50,H50-D2-R03
H50-D1-R04,671,1272,35,0.03314393939393939,55,0.052083333333333336,82,44,0.041666666666666664,46,37,0.035037878787878785,38,H50,H50-D1-R04
H50-D2-R04,755,1410,35,0.03314393939393939,46,0.043560606060606064,69,41,0.038825757575757576,42,36,0.03409090909090909,36,H50,H50-D2-R04
H50-D1-R05,731,1370,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,H50,H50-D1-R05
H50-D2-R05,751,1408,0,0.0,9,0.008522727272727272,13,3,0.002840909090909091,4,1,0.000946969696969697,2,H50,H50-D2-R05
H75-R01,1412,2672,0,0.0,9,0.008522727272727272,13,3,0.002840909090909091,4,1,0.000946969696969697,2,H75,H75-R01
H75-R02,1408,2670,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,H75,H75-R02
H75-R03,1413,2674,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,H75,H75-R03
H75-R04,1475,2773,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,H75,H75-R04
H75-R05,1410,2671,0,0.0,9,0.008522727272727272,13,3,0.002840909090909091,4,1,0.000946969696969697,2,H75,H75-R05
H75-R06,1419,2677,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,H75,H75-R06
H75-R07,1413,2674,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,H75,H75-R07
H75-R08,1413,2674,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,H75,H75-R08
H75-R09,1413,2674,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,H75,H75-R09
H75-R10,1408,2670,35,0.03314393939393939,46,0.043560606060606064,69,41,0.038825757575757576,42,36,0.03409090909090909,36,H75,H75-R10
