artifact_role,figure_id,path,sha256,size_bytes,source_or_output,source_binding,script_binding,notes
registry,ALL,outputs/figures/group6/g6_figure_spec_registry_v0.1.json,073dc7caa29f97f1b1dc6fafcbc25a4d39c6901a3499a532f069c55d8f42daa7,29012,source,G6-F01 integrated contract,,Git blob 44cc30fc3c38639c6aa4370cb6f317458041f1b1
scientific_input,G6-FIG-01,outputs/results/group5/tables/g5_main_01_he2a_primary_early_ranking.csv,3fe92d470a3d8de835edcae3d9cb6a8e286ea300ccb2391d5268c324f7bef76a,2935,source,G5-MAIN-01,,Git blob cb68583ee2260e4455796bac99ad90995ca7ef92
scientific_input,G6-FIG-01,outputs/results/group5/tables/g5_main_02_he2b_deep_coverage.csv,edbda90e058a9d55f7b79f5c2cd4f41aa0e110a700a295de42b2c7f7d5d67a50,342,source,G5-MAIN-02,,Git blob 359e4e19b5ef1d44983c03039162209293b2a44c
scientific_input,G6-FIG-02,outputs/results/group5/tables/g5_secondary_01_phase_e_descriptive.csv,9c269914a49b20cd06825b31f774c30f996317e4f2d88c3cf2cf15b44d6055ec,2636,source,G5-SECONDARY-01,,Git blob fa961cf3d6198ddba6a6b5eeadcc9a23c8801f61
scientific_input,G6-FIG-03,outputs/results/group5/tables/g5_appendix_02_exp11a_size_composition_sensitivity.csv,b8cd960a2442cc7f139dc9a210ffa18918c837736c619aa6fb9b6fcc89dd693d,12820,source,G5-APPENDIX-02,,Git blob cf3aedab5935d6af9b3ac7be7b51b954fcb9c403
scientific_input,G6-FIG-03,outputs/experiments/exp11a_historical_size_sensitivity_v0.3/exp11_metrics_by_run.csv,17ea82be306b81a44760716a0a6f5e55c0b7b5a97e30bc8e12ca59d58ad79958,16555,source,EXP11A per-run source,,Git blob 9b434d7e09e6db7e9de061953b59c53aac2337ad
scientific_input,G6-FIG-03,outputs/experiments/exp11a_historical_size_sensitivity_v0.3/exp11_metrics_by_condition.csv,abf02173b6d72342444de21a3dcbbfbc448cabddec5c6a5175c9c0a0a603c1e7,4280,source,EXP11A frozen summaries,,Git blob 535dd377d107ddcbf09ecaa13cd66ca723ee738d
render_script,G6-FIG-01,src/figures/group6/render_g6_fig_01_he2.py,4f4b8f4c467e522efca013748913200fb5474dd71780cd18270cf8091904266b,9369,script,G6-F01 registry and G5-MAIN-01/G5-MAIN-02,,Python standard library plus Pillow
render_script,G6-FIG-02,src/figures/group6/render_g6_fig_02_phase_e.py,25750886d90c7b63dfec8fa6f15b9b7a8e13a09ef0b8502ab08bca28622a3a50,6017,script,G6-F01 registry and G5-SECONDARY-01,,Python standard library plus Pillow
render_script,G6-FIG-03,src/figures/group6/render_g6_fig_03_exp11a.py,26e588cc17ddae9da058f4679c18a541cdeb35497e8c678efa3643577c3f3624,6410,script,G6-F01 registry and EXP11A sources,,Python standard library plus Pillow
vector_output,G6-FIG-01,figures/group6/g6_fig_01_he2.svg,529c491fbf9b60f962c1e2b420dfc7402137fbe6156d57e51f555219686231c7,23901,output,G5-MAIN-01 and G5-MAIN-02,src/figures/group6/render_g6_fig_01_he2.py,Deterministic SVG
raster_output,G6-FIG-01,figures/group6/g6_fig_01_he2.png,88180c85a4263f5508b37b036c6133c8109c4c6572079808af205976d4427f78,146697,output,G5-MAIN-01 and G5-MAIN-02,src/figures/group6/render_g6_fig_01_he2.py,2500x3125 PNG at 300 dpi
vector_output,G6-FIG-02,figures/group6/g6_fig_02_phase_e.svg,ef0bdad2e1bf47c0d52e8c9dd5d0cb315e4fd65987f11328312f74f9d675ad73,8429,output,G5-SECONDARY-01,src/figures/group6/render_g6_fig_02_phase_e.py,Deterministic SVG
raster_output,G6-FIG-02,figures/group6/g6_fig_02_phase_e.png,6fa775ea7be1d1e0d087646be9570353c99d1c62ba3f97e28d0bb2078e03997f,103711,output,G5-SECONDARY-01,src/figures/group6/render_g6_fig_02_phase_e.py,3000x1688 PNG at 300 dpi
vector_output,G6-FIG-03,figures/group6/g6_fig_03_exp11a.svg,b7f1a68d5c9fe6e43eec44d86b6bd768ca1e2b60b49654ebc72fcbbfda80b230,33589,output,G5-APPENDIX-02 and EXP11A sources,src/figures/group6/render_g6_fig_03_exp11a.py,Deterministic SVG
raster_output,G6-FIG-03,figures/group6/g6_fig_03_exp11a.png,b305937e4a855ee74276e7f8124d69cb5ce002fbf28127f669316ae99681ce3f,96639,output,G5-APPENDIX-02 and EXP11A sources,src/figures/group6/render_g6_fig_03_exp11a.py,3000x2000 PNG at 300 dpi
