row_key,arm,comparison,original_numerator,original_value,corrected_numerator,corrected_value,absolute_delta,denominator,frozen aggregate characterization,source version
EV03-mrr,EV03,mrr,44.66596703438809,0.04229731726741296,44.66596703438809,0.04229731726741296,0.0,1056,ZERO_AGGREGATE_CHANGE,1fa1aed2584c5612bbc5be16173e93d80c2dd92e
EV03-top_1,EV03,top_1,29,0.027462121212121212,29,0.027462121212121212,0.0,1056,ZERO_AGGREGATE_CHANGE,1fa1aed2584c5612bbc5be16173e93d80c2dd92e
EV03-top_3,EV03,top_3,54,0.05113636363636364,54,0.05113636363636364,0.0,1056,ZERO_AGGREGATE_CHANGE,1fa1aed2584c5612bbc5be16173e93d80c2dd92e
EV03-top_5,EV03,top_5,65,0.061553030303030304,65,0.061553030303030304,0.0,1056,ZERO_AGGREGATE_CHANGE,1fa1aed2584c5612bbc5be16173e93d80c2dd92e
EV03-top_10,EV03,top_10,69,0.06534090909090909,69,0.06534090909090909,0.0,1056,ZERO_AGGREGATE_CHANGE,1fa1aed2584c5612bbc5be16173e93d80c2dd92e
EV03-top_50,EV03,top_50,74,0.07007575757575757,74,0.07007575757575757,0.0,1056,ZERO_AGGREGATE_CHANGE,1fa1aed2584c5612bbc5be16173e93d80c2dd92e
EV03-recall_at_50,EV03,recall_at_50,74,0.07007575757575757,74,0.07007575757575757,0.0,1056,ZERO_AGGREGATE_CHANGE,1fa1aed2584c5612bbc5be16173e93d80c2dd92e
EV03-recall_at_100,EV03,recall_at_100,75,0.07102272727272728,75,0.07102272727272728,0.0,1056,ZERO_AGGREGATE_CHANGE,1fa1aed2584c5612bbc5be16173e93d80c2dd92e
EV03-partida_at_10,EV03,partida_at_10,104,0.09848484848484848,104,0.09848484848484848,0.0,1056,ZERO_AGGREGATE_CHANGE,1fa1aed2584c5612bbc5be16173e93d80c2dd92e
EV03-sub_partida_at_10,EV03,sub_partida_at_10,76,0.07196969696969698,76,0.07196969696969698,0.0,1056,ZERO_AGGREGATE_CHANGE,1fa1aed2584c5612bbc5be16173e93d80c2dd92e
